,Close
0,0.0
1,0.061
2,0.376
3,0.423
4,0.452
5,0.487
6,0.539
7,0.472
8,0.491
9,0.562
10,0.551
11,0.586
12,0.637
13,0.584
14,0.637
15,0.605
16,0.563
17,0.566
18,0.665
19,0.716
20,0.721
21,0.634
22,0.693
23,0.554
24,0.514
25,0.619
26,0.652
27,0.735
28,0.811
29,0.791
30,0.77
31,0.869
32,0.802
33,0.811
34,0.872
35,0.817
36,0.666
37,0.632
38,0.704
39,0.728
40,0.765
41,0.893
42,0.939
43,0.983
44,0.898
45,0.914
46,0.835
47,0.935
48,0.817
49,0.834
50,0.791
51,0.737
52,0.794
53,0.828
54,0.815
55,0.78
56,0.802
57,0.709
58,0.648
59,0.667
60,0.678
61,0.602
62,0.551
63,0.556
64,0.687
65,0.688
66,0.687
67,0.747
68,0.81
69,0.616
70,0.524
71,0.563
72,0.631
73,0.478
74,0.421
75,0.408
76,0.44
77,0.49
78,0.457
79,0.482
80,0.465
81,0.369
82,0.407
83,0.509
84,0.512
85,0.408
86,0.549
87,0.553
88,0.619
89,0.648
90,0.639
91,0.613
92,0.587
93,0.465
94,0.574
95,0.714
96,0.65
97,0.717
98,0.755
99,0.797
100,0.762
101,0.783
102,0.748
103,0.798
104,0.863
105,0.92
106,0.937
107,0.89
108,0.907
109,0.924
110,0.919
111,0.99
112,0.945
113,0.917
114,0.918
115,0.965
116,1.0
117,0.652
118,0.644
119,0.811
120,0.846
121,0.853
122,0.729
123,0.66
124,0.659
125,0.694
126,0.881
127,0.736
128,0.646
129,0.58
130,0.785
131,0.571
132,0.52
133,0.51
134,0.330
