,Close
0,0.0
1,0.364
2,0.466
3,0.49
4,0.57
5,0.592
6,0.584
7,0.57
8,0.58
9,0.684
10,0.684
11,0.731
12,0.713
13,0.755
14,0.87
15,0.937
16,0.91
17,0.97
18,1.0
19,0.994
20,0.943
21,0.97
22,0.967
23,0.62
24,0.304
25,0.427
26,0.265
27,0.0
28,0.214
29,0.26
30,0.258
31,0.361
32,0.465
33,0.488
34,0.533
35,0.59
36,0.568
37,0.669
38,0.756
39,0.611
40,0.535
41,0.354
42,0.425
43,0.484
44,0.518
45,0.597
46,0.677
47,0.851
48,0.88
49,0.735
50,0.785
51,0.795
52,0.705
53,0.514
54,0.49
55,0.48
56,0.253
57,0.105
58,0.0
