,Close
0,0.0
1,0.184
2,0.263
3,0.349
4,0.459
5,0.48
6,0.513
7,0.485
8,0.474
9,0.581
10,0.736
11,0.655
12,0.697
13,0.79
14,0.757
15,0.876
16,0.884
17,0.883
18,0.962
19,0.81
20,0.691
21,0.565
22,0.416
23,0.471
24,0.423
25,0.387
26,0.334
27,0.51
28,0.603
29,0.736
30,0.841
31,0.739
32,0.761
33,0.789
34,0.924
35,1.0
36,0.877
37,0.758
38,0.649
39,0.781
40,0.836
41,0.661
42,0.594
43,0.526
44,0.381
45,0.345
46,0.674
47,0.59
48,0.332
49,0.603
50,0.594
51,0.478
52,0.21
53,0.174
54,0.381
55,0.361
56,0.268
57,0.272
58,0.42
59,0.569
60,0.693
61,0.723
62,0.745
63,0.813
64,0.687
65,0.793
66,0.92
67,0.825
68,0.958
69,0.908
70,0.758
71,0.783
72,0.761
73,0.671
74,0.69
75,0.716
76,0.801
77,0.714
78,0.703
79,0.761
80,0.72
81,0.697
82,0.829
83,0.913
84,0.758
85,0.481
86,0.487
87,0.245
88,0.297
89,0.048
