,Close
0,0.0
1,0.221
2,0.404
3,0.378
4,0.63
5,0.761
6,0.91
7,0.971
8,1.0
9,0.898
10,0.797
11,0.635
12,0.487
13,0.586
14,0.635
15,0.477
16,0.435
17,0.514
18,0.638
19,0.785
20,0.738
21,0.731
22,0.862
23,0.927
24,0.865
25,0.724
26,0.7
27,0.614
28,0.697
29,0.737
30,0.593
31,0.541
32,0.586
33,0.532
34,0.162
35,0.76
36,0.581
37,0.356
38,0.623
39,0.561
40,0.508
41,0.251
42,0.174
43,0.427
44,0.456
45,0.45
46,0.413
47,0.45
48,0.647
49,0.742
50,0.834
51,0.867
52,0.894
53,0.594
54,0.607
55,0.599
56,0.468
57,0.478
58,0.423
59,0.226
60,0.169
61,0.218
62,0.125
