,Close
0,0.033
1,0.0
2,0.139
3,0.188
4,0.228
5,0.276
6,0.475
7,0.476
8,0.417
9,0.466
10,0.503
11,0.626
12,0.723
13,0.693
14,0.757
15,0.872
16,1.0
17,0.93
18,0.619
19,0.381
20,0.128
21,0.354
22,0.204
23,0.109
24,0.14
25,0.078
26,0.259
27,0.354
28,0.483
29,0.397
30,0.458
31,0.606
32,0.644
33,0.612
34,0.521
35,0.542
36,0.656
37,0.789
38,0.786
39,0.814
40,0.661
41,0.663
42,0.62
43,0.588
44,0.423
45,0.456
46,0.488
47,0.586
48,0.641
49,0.674
50,0.754
51,0.674
52,0.688
53,0.6
54,0.55
55,0.551
56,0.326
57,0.010
