,Close
0,0.0
1,0.076
2,0.141
3,0.219
4,0.222
5,0.279
6,0.286
7,0.301
8,0.278
9,0.278
10,0.202
11,0.265
12,0.344
13,0.438
14,0.493
15,0.515
16,0.592
17,0.696
18,0.788
19,0.845
20,0.687
21,0.678
22,0.82
23,0.836
24,0.873
25,0.963
26,0.986
27,0.933
28,0.803
29,0.917
30,0.959
31,0.943
32,0.818
33,0.791
34,0.823
35,0.828
36,0.739
37,0.734
38,0.806
39,0.865
40,0.881
41,0.863
42,0.752
43,0.722
44,0.728
45,0.803
46,0.8
47,0.835
48,0.83
49,0.866
50,0.775
51,0.819
52,0.916
53,0.822
54,0.852
55,0.744
56,0.593
57,0.544
58,0.575
59,0.438
60,0.541
61,0.478
62,0.46
63,0.559
64,0.516
65,0.505
66,0.52
67,0.607
68,0.665
69,0.738
70,0.773
71,0.787
72,0.806
73,0.755
74,0.706
75,0.69
76,0.767
77,0.871
78,0.903
79,0.959
80,0.983
81,1.0
82,0.959
83,0.845
84,0.817
85,0.774
86,0.789
87,0.74
88,0.747
89,0.765
90,0.789
91,0.77
92,0.741
93,0.753
94,0.695
95,0.835
96,0.899
97,0.901
98,0.933
99,0.962
100,0.951
101,0.941
102,0.835
103,0.97
104,0.923
105,0.93
