,Close
0,0.008
1,0.0
2,0.376
3,0.444
4,0.625
5,0.819
6,0.843
7,0.843
8,0.761
9,0.778
10,0.856
11,0.73
12,0.909
13,0.895
14,0.798
15,0.733
16,0.508
17,0.647
18,0.692
19,0.563
20,0.465
21,0.569
22,0.81
23,0.818
24,0.71
25,0.742
26,0.791
27,0.649
28,0.585
29,0.596
30,0.502
31,0.634
32,0.617
33,0.602
34,0.65
35,0.773
36,0.956
37,0.993
38,0.767
39,0.831
40,0.785
41,0.721
42,0.693
43,0.735
44,0.71
45,0.575
46,0.706
47,0.862
48,0.895
49,0.798
50,0.794
51,0.666
52,0.69
53,0.706
54,0.823
55,0.756
56,0.932
57,0.976
58,0.91
59,0.934
60,0.975
61,0.953
62,0.84
63,0.907
64,0.879
65,0.915
66,0.872
67,0.751
68,0.876
69,0.866
70,0.877
71,0.856
72,0.861
73,0.872
74,0.701
75,0.657
76,0.64
77,0.635
78,0.657
79,0.679
80,0.829
81,0.812
82,0.768
83,0.867
84,0.753
85,0.789
86,0.812
87,0.711
88,0.706
89,0.679
90,0.471
91,0.619
92,0.629
93,0.51
94,0.509
95,0.432
96,0.411
97,0.456
98,0.456
99,0.423
100,0.386
101,0.548
102,0.707
103,0.722
104,0.754
105,0.712
106,0.701
107,0.628
108,0.638
109,0.753
110,0.708
111,0.731
112,0.71
113,0.768
114,0.743
115,0.762
116,0.837
117,0.773
118,0.589
119,0.591
120,0.624
121,0.501
122,0.505
123,0.599
124,0.62
125,0.654
126,0.621
127,0.52
128,0.65
129,0.813
130,0.768
131,0.64
132,0.628
133,0.573
134,0.62
135,0.733
136,0.775
137,0.975
138,0.981
139,0.966
140,0.891
141,0.813
142,0.699
143,0.612
144,0.806
145,0.84
146,0.803
147,1.0
148,0.947
