,Close
0,0.926
1,0.741
2,0.759
3,0.684
4,0.601
5,0.676
6,0.527
7,0.429
8,0.365
9,0.174
10,0.078
11,0.071
12,0.212
13,0.131
14,0.072
15,0.273
16,0.47
17,0.386
18,0.245
19,0.132
20,0.081
21,0.004
22,0.0
23,0.15
24,0.013
25,0.155
26,0.213
27,0.174
28,0.138
29,0.283
30,0.274
31,0.366
32,0.436
33,0.468
34,0.472
35,0.467
36,0.483
37,0.394
38,0.359
39,0.523
40,0.551
41,0.604
42,0.474
43,0.756
44,0.811
45,0.745
46,0.784
47,0.761
48,0.755
49,0.744
50,0.718
51,0.831
52,0.858
53,0.887
54,0.776
55,0.75
56,0.858
57,0.899
58,0.857
59,0.726
60,0.637
61,0.63
62,0.652
63,0.622
64,0.662
65,0.678
66,0.63
67,0.506
68,0.457
69,0.402
70,0.396
71,0.479
72,0.406
73,0.457
74,0.511
75,0.41
76,0.496
77,0.461
78,0.42
79,0.544
80,0.48
81,0.631
82,0.677
83,0.658
84,0.693
85,0.779
86,0.813
87,0.851
88,0.77
89,0.771
90,0.866
91,0.904
92,0.904
93,0.894
94,0.956
95,0.958
96,0.894
97,1.0
98,0.988
99,0.974
100,0.948
101,0.886
102,0.928
103,0.898
104,0.875
105,0.941
106,0.974
107,0.977
108,0.949
109,0.887
110,0.852
111,0.742
112,0.719
113,0.722
114,0.7
115,0.728
116,0.685
117,0.709
118,0.745
119,0.819
120,0.785
121,0.659
122,0.673
123,0.571
124,0.477
125,0.457
126,0.509
127,0.39
128,0.454
129,0.398
130,0.463
131,0.471
132,0.413
133,0.407
134,0.412
135,0.484
136,0.515
137,0.587
138,0.636
139,0.688
140,0.795
141,0.784
142,0.747
143,0.753
144,0.755
145,0.816
146,0.846
147,0.917
148,0.915
149,0.935
150,0.94
151,0.91
152,0.897
153,0.889
154,0.874
155,0.762
156,0.736
157,0.815
158,0.875
159,0.866
160,0.76
161,0.744
162,0.756
163,0.925
164,0.941
165,0.927
166,0.908
167,0.84
168,0.816
169,0.89
170,0.785
171,0.822
172,0.799
173,0.807
174,0.813
175,0.741
176,0.638
177,0.569
178,0.633
179,0.586
180,0.536
181,0.618
182,0.743
183,0.709
