,Close
0,0.0
1,0.013
2,0.086
3,0.014
4,0.028
5,0.108
6,0.271
7,0.254
8,0.189
9,0.157
10,0.204
11,0.187
12,0.248
13,0.368
14,0.134
15,0.258
16,0.322
17,0.379
18,0.345
19,0.387
20,0.401
21,0.438
22,0.719
23,0.695
24,0.647
25,0.732
26,0.779
27,0.753
28,0.733
29,0.768
30,0.929
31,0.988
32,0.786
33,0.884
34,0.855
35,0.739
36,0.778
37,0.763
38,0.767
39,0.819
40,0.845
41,0.858
42,0.84
43,0.866
44,0.893
45,0.97
46,1.0
47,0.743
48,0.563
49,0.497
50,0.591
51,0.593
52,0.63
53,0.593
54,0.591
55,0.548
56,0.624
57,0.647
58,0.618
59,0.623
60,0.635
61,0.692
62,0.663
63,0.743
64,0.814
65,0.767
66,0.78
67,0.779
68,0.596
69,0.571
70,0.491
71,0.641
72,0.703
73,0.68
74,0.722
75,0.812
76,0.807
77,0.841
78,0.697
79,0.719
80,0.677
81,0.599
82,0.639
83,0.653
84,0.778
85,0.684
86,0.661
87,0.75
88,0.794
89,0.733
90,0.705
91,0.771
92,0.743
93,0.71
94,0.619
95,0.74
96,0.712
97,0.787
98,0.763
99,0.682
100,0.683
101,0.622
102,0.695
103,0.72
104,0.704
105,0.666
106,0.592
107,0.578
108,0.682
109,0.735
110,0.704
111,0.666
112,0.65
113,0.567
114,0.464
115,0.413
116,0.99
117,0.649
118,0.646
119,0.445
120,0.572
121,0.667
122,0.599
123,0.507
124,0.524
125,0.607
126,0.64
127,0.658
128,0.586
129,0.593
130,0.643
131,0.549
132,0.45
133,0.46
134,0.534
135,0.58
136,0.55
137,0.497
138,0.545
139,0.603
140,0.693
141,0.647
142,0.631
143,0.575
144,0.581
145,0.413
