,Close
0,0.0
1,0.062
2,0.156
3,0.312
4,0.531
5,0.594
6,0.531
7,0.531
8,0.719
9,0.781
10,0.75
11,0.594
12,0.719
13,0.687
14,0.719
15,0.687
16,0.719
17,0.75
18,0.781
19,0.75
20,0.812
21,0.812
22,0.875
23,0.844
24,0.969
25,0.875
26,0.969
27,0.969
28,1.0
29,0.906
30,0.781
31,0.875
32,0.875
33,0.875
34,0.875
35,0.844
36,0.75
37,0.594
38,0.687
39,0.531
40,0.625
41,0.594
42,0.344
43,0.437
44,0.563
45,0.656
46,0.656
47,0.687
48,0.687
49,0.625
50,0.625
51,0.656
52,0.719
53,0.75
54,0.75
55,0.812
56,0.75
57,0.875
58,0.844
59,0.719
60,0.844
61,0.75
62,0.656
63,0.594
64,0.5
65,0.5
66,0.719
67,0.781
68,0.812
69,0.875
70,0.875
71,0.937
72,0.937
73,0.906
74,0.875
75,0.781
76,0.781
77,0.719
78,0.781
79,0.719
80,0.563
