,Close
0,0.002
1,0.0
2,0.039
3,0.049
4,0.018
5,0.094
6,0.013
7,0.007
8,0.095
9,0.184
10,0.193
11,0.27
12,0.316
13,0.402
14,0.315
15,0.302
16,0.419
17,0.436
18,0.382
19,0.365
20,0.371
21,0.546
22,0.431
23,0.478
24,0.64
25,1.0
26,0.827
27,0.825
28,0.749
29,0.704
30,0.471
31,0.413
32,0.403
33,0.457
34,0.671
35,0.585
36,0.578
37,0.508
38,0.488
39,0.513
40,0.428
41,0.44
42,0.559
43,0.557
44,0.535
45,0.552
46,0.518
47,0.496
48,0.519
49,0.417
50,0.316
51,0.431
52,0.505
53,0.542
54,0.613
55,0.765
56,0.771
57,0.973
58,0.806
59,0.554
60,0.582
61,0.472
62,0.48
63,0.528
64,0.503
65,0.571
66,0.49
67,0.466
68,0.432
69,0.445
70,0.537
71,0.622
72,0.571
