,Close
0,0.0
1,0.396
2,0.647
3,0.684
4,0.537
5,0.808
6,0.923
7,0.936
8,0.652
9,0.637
10,0.709
11,0.739
12,0.622
13,0.64
14,0.706
15,0.697
16,0.59
17,0.567
18,0.709
19,0.779
20,0.814
21,0.719
22,0.602
23,0.485
24,0.55
25,0.396
26,0.46
27,0.517
28,0.508
29,0.428
30,0.378
31,0.279
32,0.251
33,0.253
34,0.227
35,0.186
36,0.129
37,0.069
38,0.151
39,0.157
40,0.182
41,0.274
42,0.224
43,0.284
44,0.331
45,0.356
46,0.401
47,0.328
48,0.378
49,0.353
50,0.346
51,0.254
52,0.298
53,0.431
54,0.42
55,0.487
56,0.53
57,0.527
58,0.485
59,0.518
60,0.589
61,0.647
62,0.584
63,0.493
64,0.547
65,0.482
66,0.416
67,0.716
68,0.849
69,0.89
70,1.0
71,0.936
72,0.94
73,0.789
74,0.794
75,0.831
76,0.763
77,0.776
78,0.814
79,0.791
80,0.796
81,0.804
82,0.721
83,0.672
84,0.709
85,0.637
86,0.617
87,0.557
88,0.587
89,0.599
90,0.657
91,0.627
92,0.652
93,0.702
94,0.696
95,0.717
96,0.717
97,0.697
98,0.726
99,0.826
100,0.873
101,0.957
102,0.967
103,0.936
104,0.806
105,0.843
106,0.861
107,0.871
108,0.829
109,0.86
110,0.831
111,0.851
112,0.853
113,0.816
114,0.829
115,0.833
116,0.846
117,0.751
118,0.714
119,0.791
120,0.801
121,0.809
122,0.776
123,0.769
124,0.769
125,0.871
126,0.858
127,0.824
128,0.814
