,Close
0,0.0
1,0.0
2,0.112
3,0.142
4,0.153
5,0.153
6,0.166
7,0.173
8,0.189
9,0.247
10,0.284
11,0.268
12,0.242
13,0.255
14,0.334
15,0.304
16,0.313
17,0.278
18,0.295
19,0.298
20,0.362
21,0.387
22,0.393
23,0.403
24,0.418
25,0.398
26,0.323
27,0.334
28,0.429
29,0.47
30,0.375
31,0.389
32,0.387
33,0.356
34,0.308
35,0.25
36,0.298
37,0.384
38,0.378
39,0.443
40,0.477
41,0.344
42,0.395
43,0.353
44,0.314
45,0.335
46,0.316
47,0.275
48,0.29
49,0.192
50,0.174
51,0.159
52,0.237
53,0.219
54,0.201
55,0.269
56,0.42
57,0.392
58,0.384
59,0.365
60,0.38
61,0.406
62,0.384
63,0.448
64,0.377
65,0.531
66,0.614
67,0.637
68,0.618
69,0.695
70,0.718
71,0.768
72,0.701
73,0.716
74,0.782
75,0.757
76,0.756
77,0.701
78,0.747
79,0.834
80,0.875
81,0.907
82,0.899
83,0.865
84,0.744
85,0.792
86,0.899
87,0.885
88,0.896
89,0.904
90,0.904
91,0.951
92,0.955
93,0.98
94,0.948
95,0.905
96,0.928
97,0.964
98,1.0
99,0.932
100,0.891
101,0.847
102,0.834
103,0.794
104,0.793
105,0.799
106,0.792
107,0.715
108,0.709
109,0.712
110,0.718
111,0.752
112,0.667
113,0.702
114,0.725
115,0.687
116,0.729
117,0.741
118,0.703
119,0.703
120,0.689
121,0.798
122,0.702
123,0.734
124,0.764
125,0.756
126,0.719
127,0.717
128,0.596
129,0.558
130,0.589
131,0.568
132,0.605
133,0.654
134,0.648
135,0.611
136,0.649
137,0.718
138,0.726
139,0.75
140,0.792
141,0.804
142,0.857
143,0.806
144,0.767
145,0.818
146,0.826
147,0.805
148,0.829
149,0.833
150,0.884
151,0.839
152,0.961
153,0.964
154,0.945
155,0.929
156,0.892
157,0.916
158,0.97
159,0.948
160,0.932
161,0.916
162,0.893
163,0.851
164,0.807
165,0.744
166,0.81
167,0.716
168,0.794
169,0.688
170,0.79
171,0.83
172,0.767
173,0.743
174,0.798
175,0.832
176,0.841
177,0.867
178,0.886
179,0.921
180,0.96
181,0.874
182,0.874
183,0.864
184,0.898
185,0.919
186,0.937
187,0.936
188,0.899
189,0.943
190,0.962
191,0.894
192,0.9
193,0.891
194,0.884
195,0.848
