,Close
0,0.0
1,0.097
2,0.097
3,0.179
4,0.201
5,0.274
6,0.243
7,0.298
8,0.231
9,0.225
10,0.116
11,0.191
12,0.164
13,0.225
14,0.243
15,0.517
16,0.541
17,0.492
18,0.578
19,0.605
20,0.59
21,0.535
22,0.529
23,0.486
24,0.535
25,0.553
26,0.541
27,0.505
28,0.632
29,0.711
30,0.72
31,0.635
32,0.729
33,0.736
34,0.699
35,0.669
36,0.669
37,0.748
38,0.766
39,0.772
40,0.781
41,0.723
42,0.584
43,0.632
44,0.626
45,0.62
46,0.632
47,0.547
48,0.614
49,0.547
50,0.565
51,0.597
52,0.553
53,0.693
54,0.723
55,0.702
56,0.736
57,0.839
58,0.768
59,0.778
60,0.872
61,0.854
62,0.833
63,0.802
64,0.833
65,0.845
66,0.833
67,0.824
68,0.79
69,0.869
70,0.918
71,0.948
72,0.851
73,0.784
74,0.799
75,0.809
76,0.775
77,0.754
78,0.76
79,0.723
80,0.711
81,0.72
82,0.729
83,0.663
84,0.681
85,0.705
86,0.647
87,0.669
88,0.772
89,0.62
90,0.632
91,0.672
92,0.663
93,0.605
94,0.584
95,0.644
96,0.845
97,0.839
98,0.815
99,0.888
100,0.802
101,0.912
102,0.869
103,0.76
104,0.869
105,0.918
106,0.894
107,0.796
108,0.766
109,0.796
110,0.802
111,0.894
112,0.918
113,0.954
114,0.973
115,0.942
116,0.912
117,0.918
118,0.912
119,0.951
120,0.906
121,0.875
122,0.821
123,0.79
124,0.845
125,0.839
126,0.869
127,0.927
128,0.906
129,0.875
130,0.918
131,0.878
132,0.918
133,0.96
134,1.0
135,0.97
136,0.93
137,0.927
138,0.985
139,0.997
140,0.948
141,0.942
142,0.912
143,0.9
144,0.881
145,0.881
146,0.881
147,0.784
148,0.763
149,0.717
150,0.711
151,0.772
152,0.778
