,Close
0,0.0
1,0.176
2,0.153
3,0.051
4,0.159
5,0.261
6,0.278
7,0.33
8,0.455
9,0.619
10,0.733
11,0.75
12,0.699
13,0.705
14,0.818
15,0.835
16,0.835
17,0.813
18,0.864
19,0.926
20,0.983
21,0.875
22,0.858
23,0.67
24,0.585
25,0.483
26,0.42
27,0.398
28,0.369
29,0.409
30,0.381
31,0.352
32,0.301
33,0.318
34,0.335
35,0.386
36,0.455
37,0.54
38,0.494
39,0.585
40,0.619
41,0.619
42,0.682
43,0.722
44,0.733
45,0.727
46,0.807
47,0.869
48,0.937
49,0.909
50,0.898
51,0.841
52,0.756
53,0.733
54,0.693
55,0.739
56,0.795
57,0.818
58,0.699
59,0.665
60,0.75
61,0.807
62,0.801
63,0.795
64,0.813
65,0.79
66,0.761
67,0.676
68,0.653
69,0.58
70,0.631
71,0.597
72,0.58
73,0.625
74,0.648
75,0.602
76,0.591
77,0.642
78,0.54
79,0.551
80,0.574
81,0.562
82,0.608
83,0.562
84,0.58
85,0.557
86,0.597
87,0.608
88,0.602
89,0.568
90,0.574
91,0.574
92,0.58
93,0.625
94,0.653
95,0.727
96,0.892
97,1.0
98,0.903
99,0.847
100,0.852
101,0.869
102,0.795
103,0.813
104,0.813
105,0.813
106,0.773
107,0.739
108,0.659
109,0.574
110,0.608
111,0.636
112,0.687
113,0.71
