,Close
0,0.898
1,0.765
2,0.72
3,0.776
4,0.73
5,0.747
6,0.598
7,0.654
8,0.54
9,0.527
10,0.572
11,0.396
12,0.394
13,0.332
14,0.192
15,0.076
16,0.118
17,0.178
18,0.124
19,0.118
20,0.259
21,0.352
22,0.267
23,0.249
24,0.186
25,0.185
26,0.14
27,0.05
28,0.113
29,0.0
30,0.089
31,0.108
32,0.086
33,0.056
34,0.161
35,0.07
36,0.192
37,0.255
38,0.277
39,0.313
40,0.211
41,0.221
42,0.267
43,0.248
44,0.367
45,0.423
46,0.573
47,0.491
48,0.608
49,0.605
50,0.559
51,0.569
52,0.46
53,0.313
54,0.278
55,0.382
56,0.341
57,0.449
58,0.36
59,0.303
60,0.438
61,0.551
62,0.547
63,0.588
64,0.478
65,0.513
66,0.52
67,0.549
68,0.562
69,0.535
70,0.502
71,0.416
72,0.324
73,0.313
74,0.32
75,0.359
76,0.465
77,0.409
78,0.419
79,0.401
80,0.467
81,0.47
82,0.548
83,0.442
84,0.402
85,0.419
86,0.501
87,0.527
88,0.547
89,0.673
90,0.605
91,0.586
92,0.615
93,0.613
94,0.576
95,0.691
96,0.757
97,0.772
98,0.754
99,0.854
100,0.784
101,0.797
102,0.85
103,0.841
104,0.953
105,0.832
106,0.766
107,0.816
108,0.791
109,0.823
110,0.853
111,0.862
112,0.872
113,0.86
114,0.942
115,0.853
116,0.709
117,0.747
118,0.761
119,0.683
120,0.665
121,0.69
122,0.793
123,0.572
124,0.857
125,0.86
126,0.779
127,0.819
128,0.807
129,0.791
130,0.701
131,0.748
132,0.54
133,0.559
134,0.495
135,0.509
136,0.626
137,0.643
138,0.683
139,0.647
140,0.677
141,0.736
142,0.775
143,0.786
144,0.783
145,0.695
146,0.633
147,0.613
148,0.605
149,0.615
150,0.684
151,0.736
152,0.78
153,0.848
154,0.878
155,0.903
156,0.84
157,0.84
158,0.613
159,0.626
160,0.624
161,0.69
162,0.743
163,0.732
164,0.695
165,0.63
166,0.694
167,0.744
168,0.837
169,0.932
170,0.928
171,0.939
172,0.972
173,1.0
174,0.999
175,0.919
176,0.937
177,0.96
178,0.942
179,0.937
180,0.942
181,0.866
182,0.829
183,0.868
184,0.839
185,0.711
186,0.805
187,0.905
188,0.898
