,Close
0,0.717
1,0.72
2,0.816
3,0.856
4,0.916
5,0.972
6,0.773
7,0.7
8,0.59
9,0.513
10,0.528
11,0.46
12,0.421
13,0.388
14,0.372
15,0.246
16,0.123
17,0.199
18,0.076
19,0.173
20,0.253
21,0.332
22,0.165
23,0.111
24,0.0
25,0.015
26,0.146
27,0.11
28,0.196
29,0.099
30,0.237
31,0.226
32,0.113
33,0.101
34,0.149
35,0.171
36,0.371
37,0.386
38,0.42
39,0.503
40,0.52
41,0.498
42,0.368
43,0.379
44,0.448
45,0.44
46,0.426
47,0.348
48,0.714
49,0.63
50,0.531
51,0.529
52,0.537
53,0.471
54,0.506
55,0.491
56,0.526
57,0.503
58,0.522
59,0.354
60,0.389
61,0.479
62,0.469
63,0.545
64,0.424
65,0.383
66,0.436
67,0.458
68,0.459
69,0.458
70,0.524
71,0.501
72,0.381
73,0.259
74,0.236
75,0.21
76,0.294
77,0.269
78,0.301
79,0.283
80,0.203
81,0.314
82,0.278
83,0.241
84,0.388
85,0.216
86,0.328
87,0.318
88,0.344
89,0.505
90,0.603
91,0.64
92,0.591
93,0.666
94,0.733
95,0.752
96,0.844
97,0.807
98,0.731
99,0.809
100,0.859
101,0.794
102,0.844
103,0.912
104,1.0
105,0.918
106,0.939
107,0.942
108,0.9
109,0.836
110,0.817
111,0.869
112,0.872
113,0.863
114,0.793
115,0.783
116,0.725
117,0.714
118,0.758
119,0.706
120,0.706
121,0.705
122,0.655
123,0.776
124,0.82
125,0.814
126,0.739
127,0.77
128,0.674
129,0.504
130,0.604
131,0.744
132,0.639
133,0.661
134,0.572
135,0.669
136,0.643
137,0.426
138,0.425
139,0.559
140,0.574
141,0.58
142,0.661
143,0.683
144,0.762
145,0.759
146,0.738
147,0.698
148,0.742
149,0.763
150,0.742
151,0.685
152,0.675
153,0.586
154,0.661
155,0.699
156,0.815
157,0.807
158,0.855
159,0.788
160,0.73
161,0.685
162,0.747
163,0.797
164,0.698
165,0.748
166,0.809
167,0.87
168,0.937
169,0.929
170,0.921
171,0.945
172,0.851
173,0.818
174,0.788
175,0.668
176,0.7
177,0.691
178,0.69
179,0.693
180,0.641
181,0.579
182,0.607
183,0.69
184,0.752
185,0.742
