,Close
0,0.952
1,0.697
2,0.424
3,0.394
4,0.285
5,0.182
6,0.158
7,0.042
8,0.042
9,0.03
10,0.061
11,0.0
12,0.067
13,0.03
14,0.061
15,0.133
16,0.139
17,0.248
18,0.521
19,0.545
20,0.558
21,0.618
22,0.6
23,0.436
24,0.467
25,0.57
26,0.558
27,0.618
28,0.758
29,0.915
30,0.982
31,0.976
32,0.982
33,0.867
34,0.879
35,0.982
36,0.867
37,0.721
38,0.758
39,0.8
40,0.921
41,0.939
42,0.982
43,1.0
44,0.964
45,0.915
46,0.952
47,0.77
48,0.879
49,0.782
50,0.818
51,0.836
52,0.848
53,0.861
54,0.691
55,0.855
56,0.8
57,0.527
58,0.503
59,0.406
60,0.267
61,0.315
62,0.327
63,0.394
64,0.37
65,0.6
66,0.503
67,0.467
68,0.709
69,0.618
70,0.57
71,0.582
72,0.509
73,0.588
74,0.782
75,0.782
76,0.739
77,0.764
78,0.806
79,0.903
80,0.83
81,0.921
82,0.939
83,0.994
84,0.97
85,0.921
86,0.685
87,0.733
88,0.661
89,0.782
90,0.83
91,0.624
92,0.703
93,0.745
94,0.63
95,0.485
96,0.455
97,0.412
98,0.515
99,0.564
100,0.582
101,0.533
102,0.552
103,0.564
104,0.6
105,0.673
106,0.818
107,0.752
108,0.782
109,0.661
110,0.739
111,0.818
112,0.776
113,0.764
114,0.758
115,0.824
116,0.885
117,0.927
118,0.776
119,0.933
