,Close
0,0.606
1,0.673
2,0.828
3,0.918
4,0.714
5,0.746
6,0.662
7,0.586
8,0.661
9,0.544
10,0.44
11,0.37
12,0.173
13,0.069
14,0.068
15,0.217
16,0.133
17,0.075
18,0.286
19,0.491
20,0.4
21,0.261
22,0.15
23,0.093
24,0.016
25,0.0
26,0.157
27,0.022
28,0.172
29,0.223
30,0.179
31,0.15
32,0.294
33,0.281
34,0.38
35,0.456
36,0.482
37,0.505
38,0.489
39,0.513
40,0.401
41,0.363
42,0.547
43,0.569
44,0.631
45,0.487
46,0.792
47,0.856
48,0.77
49,0.814
50,0.786
51,0.766
52,0.765
53,0.732
54,0.858
55,0.88
56,0.909
57,0.792
58,0.772
59,0.883
60,0.923
61,0.885
62,0.745
63,0.646
64,0.641
65,0.682
66,0.639
67,0.668
68,0.617
69,0.586
70,0.443
71,0.378
72,0.328
73,0.381
74,0.464
75,0.381
76,0.456
77,0.489
78,0.374
79,0.48
80,0.434
81,0.4
82,0.524
83,0.465
84,0.619
85,0.657
86,0.646
87,0.712
88,0.794
89,0.814
90,0.839
91,0.768
92,0.779
93,0.867
94,0.909
95,0.909
96,0.891
97,0.962
98,0.971
99,0.885
100,1.0
101,1.0
102,0.982
103,0.943
104,0.872
105,0.943
106,0.901
107,0.863
108,0.938
109,0.982
110,0.971
111,0.953
112,0.88
113,0.847
114,0.732
115,0.703
116,0.708
117,0.684
118,0.717
119,0.675
120,0.71
121,0.735
122,0.819
123,0.786
124,0.648
125,0.65
126,0.553
127,0.46
128,0.436
129,0.493
130,0.359
131,0.429
132,0.367
133,0.449
134,0.471
135,0.432
136,0.405
137,0.414
138,0.482
139,0.518
140,0.593
141,0.644
142,0.699
143,0.812
144,0.797
145,0.759
146,0.757
147,0.77
148,0.828
149,0.854
150,0.938
151,0.931
152,0.942
153,0.958
154,0.925
155,0.896
156,0.889
157,0.891
158,0.765
159,0.746
160,0.821
161,0.885
162,0.874
163,0.772
164,0.746
165,0.757
166,0.931
167,0.947
168,0.942
169,0.914
170,0.838
171,0.812
172,0.892
173,0.788
174,0.819
175,0.797
176,0.808
177,0.818
178,0.745
179,0.631
180,0.573
181,0.626
182,0.578
183,0.531
184,0.617
185,0.746
186,0.706
