,Close
0,0.149
1,0.0
2,0.179
3,0.24
4,0.198
5,0.142
6,0.254
7,0.331
8,0.438
9,0.373
10,0.337
11,0.502
12,0.455
13,0.407
14,0.218
15,0.123
16,0.195
17,0.266
18,0.331
19,0.222
20,0.653
21,0.729
22,0.661
23,0.723
24,0.682
25,0.622
26,0.649
27,0.63
28,0.705
29,0.75
30,0.756
31,0.638
32,0.594
33,0.826
34,0.882
35,0.84
36,0.727
37,0.643
38,0.627
39,0.705
40,0.652
41,0.736
42,0.812
43,0.761
44,0.568
45,0.483
46,0.399
47,0.416
48,0.506
49,0.399
50,0.421
51,0.388
52,0.318
53,0.452
54,0.409
55,0.391
56,0.418
57,0.302
58,0.439
59,0.478
60,0.519
61,0.659
62,0.681
63,0.708
64,0.705
65,0.633
66,0.587
67,0.724
68,0.805
69,0.786
70,0.753
71,0.812
72,0.811
73,0.737
74,0.825
75,0.932
76,1.0
77,0.916
78,0.869
79,0.955
80,0.908
81,0.867
82,0.855
83,0.934
84,0.948
85,0.976
86,0.881
87,0.846
88,0.723
89,0.731
90,0.781
91,0.695
92,0.709
93,0.694
94,0.656
95,0.725
96,0.805
97,0.828
98,0.74
99,0.766
100,0.675
101,0.556
102,0.549
103,0.652
104,0.591
105,0.708
106,0.637
107,0.698
108,0.766
109,0.692
110,0.718
111,0.707
112,0.723
113,0.701
114,0.791
115,0.836
116,0.916
117,0.927
118,0.856
119,0.821
120,0.82
121,0.853
122,0.864
123,0.867
124,0.938
125,0.915
126,0.946
127,0.961
128,0.916
129,0.916
130,0.916
131,0.912
132,0.802
