,Close
0,0.0
1,0.071
2,0.124
3,0.221
4,0.323
5,0.398
6,0.288
7,0.571
8,0.531
9,0.677
10,0.836
11,1.0
12,0.889
13,0.792
14,0.867
15,0.726
16,0.96
17,0.942
18,0.881
19,0.819
20,0.765
21,0.606
22,0.447
23,0.398
24,0.332
25,0.376
26,0.398
27,0.389
28,0.345
29,0.394
30,0.323
31,0.389
32,0.385
33,0.243
34,0.261
35,0.376
36,0.376
37,0.385
38,0.456
39,0.442
40,0.447
41,0.425
42,0.429
43,0.376
44,0.274
45,0.336
46,0.279
47,0.389
48,0.389
49,0.42
50,0.509
51,0.5
52,0.58
53,0.549
54,0.637
55,0.673
56,0.659
57,0.633
58,0.642
59,0.69
60,0.712
61,0.686
62,0.845
63,0.845
64,0.956
65,0.942
66,0.854
67,0.81
68,0.894
69,0.881
70,0.686
71,0.77
72,0.646
73,0.814
74,0.827
75,0.739
76,0.792
77,0.735
78,0.619
79,0.642
80,0.704
81,0.615
82,0.712
83,0.65
84,0.611
85,0.363
86,0.381
87,0.553
88,0.624
89,0.681
90,0.788
91,0.836
92,0.792
93,0.858
94,0.819
95,0.823
96,0.712
97,0.642
98,0.796
99,0.81
100,0.792
101,0.739
102,0.77
103,0.69
104,0.726
105,0.836
106,0.827
107,0.735
108,0.77
109,0.752
110,0.761
111,0.735
112,0.721
113,0.779
114,0.788
115,0.704
116,0.916
117,0.942
118,0.898
119,0.752
120,0.611
121,0.562
122,0.496
123,0.575
124,0.768
125,0.814
126,0.832
127,0.827
128,0.814
129,0.836
130,0.765
131,0.752
132,0.757
133,0.743
134,0.832
135,0.876
136,0.858
137,0.881
138,0.889
139,0.903
140,0.876
141,0.894
