,Close
0,0.0
1,0.033
2,0.134
3,0.126
4,0.141
5,0.249
6,0.29
7,0.323
8,0.647
9,0.628
10,0.699
11,0.517
12,0.539
13,0.632
14,0.743
15,0.703
16,0.699
17,0.725
18,0.732
19,0.662
20,0.751
21,0.848
22,1.0
23,0.862
24,0.799
25,0.803
26,0.792
27,0.613
28,0.565
29,0.587
30,0.684
31,0.777
32,0.688
33,0.717
34,0.599
35,0.546
36,0.52
37,0.457
38,0.494
39,0.524
40,0.509
41,0.509
42,0.487
43,0.498
44,0.435
45,0.454
46,0.349
47,0.338
48,0.472
49,0.52
50,0.506
51,0.539
52,0.599
53,0.58
54,0.688
55,0.587
56,0.658
57,0.625
58,0.546
59,0.546
60,0.636
61,0.654
62,0.688
63,0.714
64,0.691
65,0.639
66,0.665
67,0.77
68,0.87
69,0.796
70,0.955
71,0.97
72,0.896
73,0.933
74,0.81
75,0.706
76,0.665
77,0.636
78,0.632
79,0.703
80,0.725
81,0.669
82,0.599
83,0.628
84,0.587
85,0.591
86,0.651
87,0.606
88,0.621
89,0.632
90,0.55
91,0.532
92,0.621
93,0.572
94,0.632
95,0.625
96,0.61
97,0.639
98,0.606
99,0.587
100,0.572
101,0.576
102,0.643
103,0.669
104,0.684
105,0.673
106,0.617
