,Close
0,0.182
1,0.189
2,0.708
3,0.73
4,0.828
5,0.643
6,0.78
7,0.845
8,0.918
9,0.926
10,0.769
11,0.763
12,0.33
13,0.423
14,0.366
15,0.496
16,0.544
17,0.64
18,0.644
19,0.668
20,0.595
21,0.679
22,0.629
23,0.561
24,0.643
25,0.563
26,0.569
27,0.405
28,0.422
29,0.411
30,0.439
31,0.345
32,0.342
33,0.288
34,0.21
35,0.168
36,0.245
37,0.058
38,0.202
39,0.299
40,0.245
41,0.212
42,0.196
43,0.057
44,0.094
45,0.058
46,0.042
47,0.01
48,0.0
49,0.188
50,0.2
51,0.303
52,0.339
53,0.402
54,0.427
55,0.366
56,0.289
57,0.244
58,0.095
59,0.128
60,0.225
61,0.171
62,0.193
63,0.203
64,0.202
65,0.27
66,0.32
67,0.327
68,0.421
69,0.502
70,0.576
71,0.527
72,0.47
73,0.418
74,0.513
75,0.421
76,0.535
77,0.44
78,0.97
79,0.792
80,0.82
81,0.808
82,0.747
83,0.753
84,0.774
85,0.758
86,0.75
87,0.751
88,0.792
89,0.696
90,0.706
91,0.636
92,0.467
93,0.39
94,0.48
95,0.391
96,0.526
97,0.313
98,0.42
99,0.489
100,0.381
101,0.356
102,0.392
103,0.458
104,0.502
105,0.549
106,0.493
107,0.542
108,0.56
109,0.497
110,0.544
111,0.614
112,0.663
113,0.709
114,0.761
115,0.758
116,0.682
117,0.76
118,0.8
119,0.747
120,0.882
121,0.926
122,0.934
123,0.955
124,0.912
125,1.0
126,0.874
127,0.883
128,0.897
129,0.913
130,0.809
131,0.896
132,0.962
133,0.939
134,0.945
135,0.937
136,0.912
137,0.958
138,0.913
139,0.823
140,0.838
141,0.805
142,0.843
143,0.699
144,0.583
145,0.566
146,0.63
147,0.7
148,0.577
149,0.696
