,Close
0,0.915
1,1.0
2,0.813
3,0.755
4,0.684
5,0.689
6,0.753
7,0.715
8,0.662
9,0.583
10,0.403
11,0.33
12,0.404
13,0.513
14,0.345
15,0.36
16,0.282
17,0.346
18,0.221
19,0.205
20,0.154
21,0.233
22,0.329
23,0.287
24,0.287
25,0.207
26,0.303
27,0.38
28,0.238
29,0.136
30,0.256
31,0.343
32,0.35
33,0.376
34,0.44
35,0.574
36,0.509
37,0.44
38,0.043
39,0.0
40,0.06
41,0.196
42,0.127
43,0.142
44,0.411
45,0.509
46,0.498
47,0.4
48,0.256
49,0.27
50,0.31
51,0.294
52,0.374
53,0.331
54,0.35
55,0.293
56,0.278
57,0.277
58,0.285
59,0.489
60,0.387
61,0.329
62,0.212
63,0.237
64,0.208
65,0.248
66,0.157
67,0.16
68,0.096
69,0.112
70,0.009
71,0.068
72,0.155
73,0.083
74,0.146
75,0.118
76,0.048
77,0.099
78,0.071
79,0.139
80,0.142
81,0.181
82,0.361
83,0.488
84,0.47
85,0.57
86,0.636
87,0.637
88,0.655
89,0.469
90,0.546
91,0.414
92,0.53
93,0.505
94,0.513
95,0.528
96,0.571
97,0.593
98,0.704
99,0.796
100,0.924
101,0.927
102,0.865
103,0.913
104,0.846
105,0.808
106,0.671
107,0.812
108,0.825
109,0.856
110,0.931
111,0.854
112,0.689
113,0.71
114,0.769
115,0.766
116,0.768
117,0.723
118,0.771
119,0.772
120,0.786
121,0.682
122,0.666
123,0.733
124,0.693
125,0.495
126,0.422
127,0.419
128,0.398
129,0.546
130,0.464
131,0.518
132,0.572
133,0.472
134,0.422
135,0.456
136,0.48
137,0.495
138,0.521
139,0.519
140,0.629
141,0.596
142,0.492
143,0.416
144,0.403
145,0.558
146,0.699
147,0.641
148,0.668
149,0.671
150,0.682
151,0.731
152,0.762
153,0.797
154,0.776
155,0.72
156,0.722
157,0.592
158,0.671
159,0.728
160,0.781
161,0.747
162,0.722
163,0.671
164,0.798
165,0.843
166,0.644
167,0.623
168,0.607
169,0.518
170,0.658
171,0.625
172,0.78
173,0.778
174,0.657
175,0.655
176,0.717
177,0.644
178,0.639
179,0.667
180,0.627
181,0.57
182,0.591
183,0.82
184,0.746
