,Close
0,0.103
1,0.052
2,0.052
3,0.052
4,0.0
5,0.026
6,0.052
7,0.283
8,0.335
9,0.438
10,0.464
11,0.464
12,0.489
13,0.412
14,0.464
15,0.489
16,0.515
17,0.489
18,0.438
19,0.489
20,0.644
21,0.67
22,0.644
23,0.721
24,0.773
25,0.695
26,0.824
27,0.798
28,0.824
29,0.927
30,0.953
31,0.876
32,0.876
33,0.807
34,0.781
35,0.657
36,0.687
37,0.777
38,0.742
39,0.687
40,0.652
41,0.609
42,0.67
43,0.609
44,0.532
45,0.536
46,0.481
47,0.438
48,0.506
49,0.481
50,0.502
51,0.485
52,0.506
53,0.498
54,0.524
55,0.584
56,0.506
57,0.489
58,0.502
59,0.639
60,0.961
61,0.833
62,1.0
63,0.876
64,0.751
65,0.768
66,0.828
67,0.798
68,0.79
69,0.755
70,0.721
71,0.665
72,0.614
73,0.7
74,0.747
75,0.747
76,0.833
77,0.871
78,0.858
79,0.837
80,0.854
81,0.854
82,0.815
83,0.755
84,0.751
