,Close
0,0.02
1,0.175
2,0.0
3,0.183
4,0.241
5,0.198
6,0.132
7,0.327
8,0.42
9,0.556
10,0.475
11,0.395
12,0.609
13,0.542
14,0.498
15,0.261
16,0.133
17,0.235
18,0.304
19,0.35
20,0.202
21,0.642
22,0.747
23,0.689
24,0.786
25,0.681
26,0.646
27,0.72
28,0.685
29,0.825
30,0.883
31,0.84
32,0.696
33,0.658
34,0.977
35,1.0
36,0.973
37,0.786
38,0.635
39,0.633
40,0.693
41,0.607
42,0.759
43,0.79
44,0.737
45,0.467
46,0.323
47,0.19
48,0.233
49,0.339
50,0.233
51,0.218
52,0.21
53,0.136
54,0.206
55,0.183
56,0.191
57,0.21
58,0.109
59,0.292
60,0.296
61,0.346
62,0.451
63,0.511
64,0.58
65,0.584
66,0.432
67,0.331
68,0.51
69,0.634
70,0.607
71,0.591
72,0.708
73,0.7
74,0.56
75,0.685
76,0.774
77,0.911
78,0.837
79,0.642
80,0.883
81,0.793
82,0.732
83,0.755
84,0.85
85,0.837
86,0.868
87,0.767
88,0.743
89,0.556
90,0.342
91,0.245
92,0.466
93,0.459
94,0.42
95,0.37
96,0.381
97,0.475
98,0.477
99,0.397
100,0.393
101,0.358
102,0.327
103,0.327
104,0.416
105,0.419
106,0.525
107,0.491
108,0.559
109,0.623
110,0.475
111,0.536
112,0.541
113,0.51
114,0.455
115,0.521
116,0.584
117,0.689
118,0.712
119,0.683
120,0.677
121,0.66
122,0.66
123,0.665
124,0.633
125,0.696
126,0.683
127,0.689
128,0.728
129,0.708
130,0.666
131,0.667
132,0.671
133,0.56
134,0.516
135,0.677
136,0.71
137,0.696
138,0.646
139,0.586
140,0.563
141,0.666
142,0.646
143,0.637
144,0.655
145,0.621
146,0.625
147,0.626
148,0.585
149,0.689
150,0.755
151,0.774
152,0.774
153,0.685
154,0.595
155,0.665
156,0.778
157,0.778
158,0.72
