,Close
0,0.11
1,0.123
2,0.078
3,0.091
4,0.058
5,0.0
6,0.026
7,0.045
8,0.032
9,0.045
10,0.045
11,0.071
12,0.11
13,0.078
14,0.208
15,0.318
16,0.247
17,0.247
18,0.474
19,0.39
20,0.331
21,0.455
22,0.455
23,0.273
24,0.364
25,0.364
26,0.396
27,0.429
28,0.461
29,0.357
30,0.351
31,0.403
32,0.435
33,0.455
34,0.39
35,0.37
36,0.39
37,0.39
38,0.331
39,0.37
40,0.377
41,0.364
42,0.435
43,0.416
44,0.344
45,0.494
46,0.481
47,0.487
48,0.5
49,0.448
50,0.571
51,0.812
52,0.61
53,0.805
54,0.831
55,0.909
56,0.909
57,0.818
58,0.734
59,0.838
60,0.883
61,0.805
62,0.74
63,0.675
64,0.994
65,0.851
66,0.883
67,0.968
68,0.935
69,1.0
70,0.831
71,0.909
72,0.942
73,0.883
74,0.922
75,0.818
76,0.74
77,0.799
78,0.812
79,0.695
80,0.786
81,0.727
82,0.773
83,0.727
84,0.773
85,0.701
86,0.578
87,0.578
88,0.636
89,0.675
90,0.643
91,0.701
92,0.552
93,0.403
94,0.442
95,0.364
96,0.325
97,0.37
98,0.37
99,0.37
100,0.396
101,0.409
102,0.435
103,0.455
104,0.468
105,0.474
106,0.468
107,0.468
108,0.494
109,0.357
110,0.435
111,0.526
112,0.571
113,0.662
114,0.584
115,0.597
116,0.675
117,0.792
118,0.838
119,0.935
120,0.87
121,0.857
122,0.929
123,0.922
124,0.909
125,0.714
126,0.838
127,0.812
128,0.805
129,0.766
130,0.786
131,0.766
132,0.682
133,0.617
134,0.565
135,0.455
136,0.519
137,0.435
138,0.468
139,0.461
140,0.448
141,0.5
142,0.506
143,0.481
144,0.494
145,0.552
146,0.695
147,0.643
148,0.61
149,0.786
150,0.76
151,0.695
152,0.766
153,0.688
154,0.721
155,0.773
156,0.994
157,0.844
