,Close
0,0.192
1,0.387
2,0.437
3,0.459
4,0.391
5,0.475
6,0.437
7,0.581
8,0.684
9,0.771
10,0.726
11,0.708
12,0.709
13,0.624
14,0.675
15,0.697
16,0.69
17,0.796
18,0.86
19,0.949
20,0.948
21,0.956
22,0.933
23,1.0
24,0.928
25,0.814
26,0.862
27,0.903
28,0.989
29,0.806
30,0.797
31,0.676
32,0.64
33,0.578
34,0.578
35,0.564
36,0.635
37,0.687
38,0.794
39,0.855
40,0.623
41,0.681
42,0.585
43,0.505
44,0.536
45,0.468
46,0.377
47,0.283
48,0.096
49,0.0
50,0.021
51,0.189
52,0.116
53,0.082
54,0.274
55,0.486
56,0.506
57,0.467
58,0.299
59,0.252
60,0.181
61,0.157
62,0.304
63,0.099
64,0.247
65,0.329
66,0.296
67,0.223
68,0.344
69,0.396
70,0.518
71,0.566
72,0.561
73,0.695
74,0.701
75,0.727
76,0.528
77,0.483
78,0.565
79,0.643
80,0.659
81,0.47
82,0.812
83,0.827
84,0.774
85,0.844
86,0.769
87,0.715
88,0.749
89,0.707
90,0.816
91,0.819
92,0.827
93,0.695
94,0.711
95,0.896
96,0.871
97,0.851
98,0.687
99,0.588
100,0.572
101,0.607
102,0.539
103,0.641
104,0.694
105,0.649
106,0.506
107,0.439
108,0.338
109,0.371
110,0.476
111,0.355
112,0.423
113,0.418
114,0.287
115,0.399
116,0.381
117,0.334
118,0.388
119,0.314
120,0.469
121,0.479
122,0.538
123,0.619
124,0.65
125,0.668
126,0.657
127,0.577
128,0.497
129,0.604
130,0.685
131,0.681
132,0.682
133,0.747
134,0.734
135,0.665
136,0.771
137,0.86
138,0.898
139,0.852
140,0.812
141,0.88
142,0.823
143,0.791
144,0.8
145,0.887
146,0.905
147,0.936
148,0.866
149,0.852
150,0.701
151,0.676
152,0.712
153,0.654
154,0.684
155,0.656
156,0.668
157,0.732
158,0.831
159,0.816
160,0.74
161,0.766
162,0.66
163,0.531
164,0.48
165,0.59
166,0.475
167,0.575
168,0.476
169,0.556
170,0.638
171,0.525
172,0.529
173,0.55
174,0.602
175,0.598
176,0.681
177,0.718
178,0.806
179,0.818
180,0.698
181,0.645
182,0.619
183,0.682
184,0.726
185,0.702
186,0.766
187,0.762
188,0.838
189,0.865
190,0.828
191,0.821
192,0.823
193,0.836
194,0.665
