,Close
0,0.051
1,0.043
2,0.007
3,0.11
4,0.0
5,0.184
6,0.198
7,0.26
8,0.343
9,0.395
10,0.419
11,0.439
12,0.335
13,0.238
14,0.396
15,0.554
16,0.531
17,0.541
18,0.656
19,0.71
20,0.569
21,0.671
22,0.839
23,1.0
24,0.84
25,0.78
26,0.899
27,0.785
28,0.728
29,0.695
30,0.812
31,0.865
32,0.957
33,0.821
34,0.775
35,0.599
36,0.608
37,0.638
38,0.529
39,0.596
40,0.583
41,0.532
42,0.616
43,0.727
44,0.708
45,0.596
46,0.64
47,0.484
48,0.36
49,0.398
50,0.505
51,0.484
52,0.618
53,0.548
54,0.601
55,0.691
56,0.549
57,0.622
58,0.62
59,0.625
60,0.614
61,0.75
62,0.814
63,0.928
64,0.901
65,0.866
66,0.786
67,0.787
68,0.837
69,0.842
70,0.766
71,0.864
72,0.831
73,0.858
74,0.858
75,0.839
76,0.8
77,0.803
78,0.801
79,0.646
80,0.591
81,0.71
82,0.778
83,0.754
84,0.666
85,0.641
86,0.63
87,0.752
88,0.766
89,0.715
90,0.757
91,0.746
92,0.733
93,0.799
94,0.728
95,0.813
96,0.934
97,0.912
