,Close
0,0.0
1,0.075
2,0.077
3,0.076
4,0.198
5,0.102
6,0.151
7,0.239
8,0.344
9,0.358
10,0.492
11,0.539
12,0.631
13,0.506
14,0.508
15,0.638
16,0.727
17,0.683
18,0.673
19,0.677
20,0.735
21,0.624
22,0.694
23,0.818
24,1.0
25,0.887
26,0.874
27,0.87
28,0.823
29,0.667
30,0.622
31,0.621
32,0.717
33,0.885
34,0.78
35,0.802
36,0.69
37,0.679
38,0.704
39,0.623
40,0.649
41,0.683
42,0.639
43,0.587
44,0.624
45,0.593
46,0.536
47,0.557
48,0.416
49,0.306
50,0.382
51,0.457
52,0.422
53,0.524
54,0.608
55,0.619
56,0.749
57,0.597
58,0.609
59,0.558
60,0.502
61,0.52
62,0.649
63,0.644
64,0.738
65,0.709
66,0.693
67,0.628
68,0.644
69,0.757
70,0.879
71,0.849
72,0.984
73,0.981
74,0.93
75,0.969
76,0.866
77,0.744
78,0.705
79,0.677
80,0.665
81,0.672
82,0.757
83,0.798
84,0.679
85,0.724
86,0.648
87,0.666
88,0.791
89,0.697
90,0.721
91,0.772
92,0.652
93,0.596
94,0.673
95,0.614
96,0.713
97,0.675
98,0.654
99,0.74
100,0.678
101,0.659
102,0.641
103,0.654
104,0.739
105,0.742
106,0.79
107,0.808
