,Close
0,0.0
1,0.414
2,0.428
3,0.572
4,0.513
5,0.724
6,0.789
7,0.658
8,0.664
9,0.651
10,0.507
11,0.855
12,0.914
13,0.855
14,0.632
15,0.724
16,0.632
17,0.691
18,0.566
19,0.454
20,0.447
21,0.428
22,0.342
23,0.197
24,0.211
25,0.197
26,0.217
27,0.118
28,0.079
29,0.033
30,0.138
31,0.059
32,0.086
33,0.099
34,0.033
35,0.086
36,0.099
37,0.132
38,0.099
39,0.059
40,0.066
41,0.125
42,0.118
43,0.026
44,0.099
45,0.336
46,0.382
47,0.368
48,0.362
49,0.428
50,0.638
51,0.724
52,0.73
53,0.77
54,0.895
55,0.796
56,0.776
57,0.783
58,0.632
59,0.579
60,0.5
61,0.362
62,0.507
63,0.539
64,0.599
65,0.684
66,0.546
67,0.75
68,0.822
69,0.763
70,0.809
71,0.954
72,0.796
73,0.638
74,0.697
75,0.836
76,0.822
77,0.888
78,0.882
79,0.77
80,0.796
81,0.651
82,0.599
83,0.684
84,0.77
85,0.822
86,0.967
87,0.895
88,0.789
89,1.0
90,0.809
91,0.98
92,0.914
93,0.928
94,0.737
95,0.803
96,0.928
97,0.796
98,0.849
99,0.691
100,0.77
101,0.829
102,0.855
103,0.882
104,0.724
105,0.678
106,0.625
107,0.724
108,0.697
109,0.743
110,0.651
