,Close
0,0.13
1,0.088
2,0.0
3,0.019
4,0.033
5,0.051
6,0.14
7,0.074
8,0.126
9,0.144
10,0.205
11,0.084
12,0.102
13,0.181
14,0.177
15,0.149
16,0.153
17,0.144
18,0.228
19,0.181
20,0.279
21,0.335
22,0.288
23,0.293
24,0.367
25,0.423
26,0.386
27,0.437
28,0.414
29,0.47
30,0.47
31,0.484
32,0.474
33,0.447
34,0.437
35,0.493
36,0.591
37,0.749
38,0.865
39,0.921
40,0.902
41,0.926
42,1.0
43,0.856
44,0.926
45,0.963
46,0.791
47,0.749
48,0.698
49,0.735
50,0.609
51,0.647
52,0.651
53,0.726
54,0.828
55,0.995
56,0.981
57,0.907
58,0.921
59,0.935
60,0.898
61,0.851
62,0.893
63,0.767
64,0.726
65,0.74
66,0.679
67,0.74
68,0.726
69,0.749
70,0.809
71,0.851
72,0.967
73,0.972
74,0.86
75,0.767
76,0.702
77,0.851
78,0.721
