,Close
0,0.634
1,0.724
2,0.776
3,0.881
4,1.0
5,0.588
6,0.603
7,0.475
8,0.413
9,0.437
10,0.363
11,0.193
12,0.112
13,0.102
14,0.044
15,0.068
16,0.142
17,0.102
18,0.061
19,0.078
20,0.312
21,0.244
22,0.2
23,0.068
24,0.041
25,0.034
26,0.0
27,0.01
28,0.095
29,0.21
30,0.295
31,0.278
32,0.2
33,0.308
34,0.414
35,0.593
36,0.525
37,0.532
38,0.634
39,0.553
40,0.488
41,0.336
42,0.19
43,0.261
44,0.338
45,0.407
46,0.254
47,0.661
48,0.685
49,0.637
50,0.695
51,0.645
52,0.603
53,0.624
54,0.578
55,0.685
56,0.749
57,0.74
58,0.602
59,0.573
60,0.78
61,0.797
62,0.749
63,0.637
64,0.548
65,0.532
66,0.593
67,0.529
68,0.603
69,0.597
70,0.548
71,0.392
72,0.319
73,0.247
74,0.233
75,0.295
76,0.234
77,0.258
78,0.186
79,0.105
80,0.169
81,0.151
82,0.122
83,0.087
84,0.01
85,0.172
86,0.149
87,0.173
88,0.275
89,0.288
90,0.308
91,0.292
92,0.186
93,0.102
94,0.234
95,0.322
96,0.327
97,0.305
98,0.471
99,0.453
100,0.336
101,0.447
102,0.549
103,0.617
104,0.563
105,0.532
106,0.607
107,0.532
108,0.502
109,0.518
110,0.556
111,0.505
112,0.525
113,0.447
114,0.42
115,0.292
116,0.281
117,0.281
118,0.207
119,0.224
120,0.183
121,0.163
122,0.2
123,0.305
124,0.322
125,0.244
126,0.22
127,0.193
128,0.129
129,0.146
130,0.237
131,0.22
132,0.234
133,0.227
134,0.278
135,0.359
136,0.203
137,0.234
138,0.261
