,Close
0,0.669
1,0.615
2,0.575
3,1.0
4,0.914
5,0.662
6,0.628
7,0.553
8,0.378
9,0.27
10,0.287
11,0.244
12,0.238
13,0.221
14,0.188
15,0.177
16,0.169
17,0.203
18,0.117
19,0.121
20,0.127
21,0.108
22,0.158
23,0.145
24,0.078
25,0.101
26,0.127
27,0.082
28,0.056
29,0.037
30,0.0
31,0.024
32,0.022
33,0.032
34,0.082
35,0.195
36,0.212
37,0.333
38,0.361
39,0.715
40,0.505
41,0.283
42,0.255
43,0.229
44,0.203
45,0.309
46,0.238
47,0.179
48,0.184
49,0.158
50,0.192
51,0.188
52,0.162
53,0.16
54,0.14
55,0.169
56,0.158
57,0.136
58,0.153
59,0.116
60,0.138
61,0.149
62,0.162
63,0.132
64,0.156
65,0.13
66,0.156
67,0.128
68,0.127
69,0.132
70,0.117
71,0.203
72,0.203
73,0.199
74,0.175
75,0.199
76,0.162
77,0.128
78,0.128
79,0.088
80,0.088
81,0.06
82,0.048
83,0.039
84,0.028
85,0.05
86,0.026
87,0.104
88,0.192
89,0.231
90,0.222
91,0.097
92,0.088
93,0.039
94,0.022
95,0.009
96,0.009
97,0.024
98,0.043
99,0.02
100,0.02
101,0.009
102,0.054
103,0.089
104,0.106
105,0.084
106,0.11
107,0.11
108,0.151
109,0.091
