,Close
0,0.844
1,0.844
2,0.883
3,0.883
4,0.922
5,0.922
6,0.922
7,0.922
8,0.922
9,0.765
10,1.0
11,0.92
12,0.886
13,0.847
14,0.847
15,0.844
16,0.914
17,0.865
18,0.847
19,0.844
20,0.844
21,0.883
22,0.89
23,0.804
24,0.643
25,0.78
26,0.687
27,0.687
28,0.834
29,0.726
30,0.726
31,0.684
32,0.671
33,0.643
34,0.603
35,0.554
36,0.609
37,0.59
38,0.612
39,0.566
40,0.596
41,0.66
42,0.57
43,0.585
44,0.567
45,0.567
46,0.57
47,0.577
48,0.562
49,0.534
50,0.491
51,0.531
52,0.531
53,0.513
54,0.513
55,0.491
56,0.527
57,0.527
58,0.527
59,0.527
60,0.527
61,0.527
62,0.452
63,0.368
64,0.457
65,0.457
66,0.452
67,0.225
68,0.335
69,0.335
70,0.374
71,0.264
72,0.317
73,0.291
74,0.296
75,0.296
76,0.296
77,0.296
78,0.296
79,0.235
80,0.327
81,0.327
82,0.413
83,0.421
84,0.421
85,0.311
86,0.327
87,0.327
88,0.319
89,0.358
90,0.358
91,0.358
92,0.358
93,0.344
94,0.344
95,0.344
96,0.344
97,0.374
98,0.374
99,0.374
100,0.338
101,0.374
102,0.374
103,0.334
104,0.319
105,0.327
106,0.374
107,0.413
108,0.413
109,0.374
110,0.454
111,0.374
112,0.513
113,0.513
114,0.513
115,0.374
116,0.374
117,0.374
118,0.374
119,0.374
120,0.374
121,0.358
122,0.358
123,0.393
124,0.523
125,0.509
126,0.482
127,0.482
128,0.484
129,0.424
130,0.424
131,0.405
132,0.593
133,0.717
134,0.679
135,0.484
136,0.531
137,0.532
138,0.532
139,0.529
140,0.56
141,0.501
142,0.533
143,0.491
144,0.577
145,0.491
146,0.433
147,0.44
148,0.491
149,0.491
150,0.427
151,0.472
152,0.462
153,0.452
154,0.452
155,0.473
156,0.409
157,0.484
158,0.452
159,0.424
160,0.414
161,0.369
162,0.344
163,0.327
164,0.207
165,0.257
166,0.199
167,0.172
168,0.1
169,0.1
170,0.1
171,0.019
172,0.019
173,0.083
174,0.019
175,0.043
176,0.077
177,0.113
178,0.272
179,0.158
180,0.142
181,0.139
182,0.139
183,0.493
184,0.387
185,0.374
186,0.124
187,0.124
188,0.124
189,0.0
190,0.065
191,0.065
192,0.138
193,0.092
194,0.069
