,Close
0,0.377
1,0.324
2,0.239
3,0.377
4,0.529
5,0.777
6,0.881
7,0.912
8,0.858
9,0.761
10,0.729
11,0.714
12,0.994
13,0.983
14,1.0
15,0.852
16,0.77
17,0.714
18,0.731
19,0.734
20,0.719
21,0.721
22,0.588
23,0.431
24,0.392
25,0.437
26,0.572
27,0.679
28,0.602
29,0.656
30,0.668
31,0.594
32,0.565
33,0.461
34,0.472
35,0.444
36,0.478
37,0.466
38,0.475
39,0.425
40,0.474
41,0.426
42,0.468
43,0.444
44,0.439
45,0.389
46,0.399
47,0.385
48,0.261
49,0.377
50,0.434
51,0.431
52,0.43
53,0.464
54,0.431
55,0.442
56,0.442
57,0.531
58,0.404
59,0.449
60,0.369
61,0.392
62,0.352
63,0.332
64,0.376
65,0.377
66,0.451
67,0.518
68,0.518
69,0.445
70,0.423
71,0.485
72,0.389
73,0.431
74,0.377
75,0.366
76,0.281
77,0.269
78,0.292
79,0.399
80,0.366
81,0.366
82,0.188
83,0.135
84,0.186
85,0.15
86,0.134
87,0.103
88,0.078
89,0.111
90,0.124
91,0.042
92,0.0
