,Close
0,0.716
1,0.807
2,0.863
3,0.761
4,0.795
5,0.761
6,0.772
7,0.829
8,0.818
9,0.795
10,1.0
11,0.932
12,0.966
13,0.886
14,0.784
15,0.852
16,0.829
17,0.784
18,0.761
19,0.738
20,0.738
21,0.647
22,0.784
23,0.659
24,0.659
25,0.625
26,0.604
27,0.52
28,0.54
29,0.445
30,0.386
31,0.312
32,0.281
33,0.266
34,0.229
35,0.212
36,0.159
37,0.104
38,0.097
39,0.101
40,0.101
41,0.181
42,0.17
43,0.17
44,0.154
45,0.168
46,0.181
47,0.181
48,0.147
49,0.155
50,0.139
51,0.101
52,0.039
53,0.101
54,0.17
55,0.199
56,0.208
57,0.17
58,0.126
59,0.085
60,0.088
61,0.085
62,0.096
63,0.1
64,0.05
65,0.05
66,0.073
67,0.056
68,0.082
69,0.071
70,0.084
71,0.039
72,0.075
73,0.3
74,0.359
75,0.271
76,0.283
77,0.249
78,0.235
79,0.147
80,0.152
81,0.124
82,0.113
83,0.09
84,0.084
85,0.064
86,0.057
87,0.067
88,0.101
89,0.156
90,0.135
91,0.205
92,0.158
93,0.192
94,0.306
95,0.331
96,0.404
97,0.365
98,0.341
99,0.296
100,0.306
101,0.262
102,0.292
103,0.291
104,0.264
105,0.287
106,0.283
107,0.288
108,0.279
109,0.279
110,0.292
111,0.242
112,0.281
113,0.283
114,0.249
115,0.17
116,0.101
117,0.113
118,0.135
119,0.144
120,0.075
121,0.096
122,0.127
123,0.135
124,0.124
125,0.141
126,0.09
127,0.101
128,0.084
129,0.073
130,0.067
131,0.094
132,0.086
133,0.061
134,0.057
135,0.033
136,0.063
137,0.044
138,0.05
139,0.024
140,0.047
141,0.055
142,0.034
143,0.058
144,0.057
145,0.044
146,0.03
147,0.051
148,0.039
149,0.041
150,0.05
151,0.05
152,0.0
153,0.022
154,0.071
155,0.21
156,0.115
157,0.101
158,0.076
159,0.122
160,0.073
161,0.086
162,0.139
163,0.22
164,0.283
165,0.192
