,Close
0,0.745
1,0.858
2,0.859
3,0.967
4,0.991
5,1.0
6,0.964
7,0.997
8,0.941
9,0.813
10,0.811
11,0.823
12,0.913
13,0.712
14,0.667
15,0.583
16,0.525
17,0.542
18,0.489
19,0.456
20,0.544
21,0.581
22,0.687
23,0.741
24,0.467
25,0.494
26,0.439
27,0.386
28,0.417
29,0.366
30,0.277
31,0.252
32,0.131
33,0.08
34,0.078
35,0.184
36,0.073
37,0.0
38,0.155
39,0.316
40,0.327
41,0.275
42,0.13
43,0.089
44,0.077
45,0.052
46,0.202
47,0.057
48,0.178
49,0.241
50,0.213
51,0.197
52,0.334
53,0.422
54,0.489
55,0.466
56,0.441
57,0.586
58,0.547
59,0.539
60,0.395
61,0.336
62,0.397
63,0.466
64,0.514
65,0.389
66,0.637
67,0.652
68,0.627
69,0.664
70,0.62
71,0.642
72,0.672
73,0.655
74,0.742
75,0.755
76,0.752
77,0.675
78,0.667
79,0.831
80,0.825
81,0.816
82,0.719
83,0.631
84,0.63
85,0.666
86,0.608
87,0.686
88,0.71
89,0.694
90,0.552
91,0.436
92,0.403
93,0.4
94,0.483
95,0.397
96,0.439
97,0.417
98,0.344
99,0.42
100,0.411
101,0.365
102,0.378
103,0.338
104,0.469
105,0.441
106,0.466
107,0.532
108,0.556
109,0.566
110,0.555
111,0.461
112,0.43
113,0.52
114,0.58
115,0.587
116,0.6
117,0.666
118,0.647
119,0.581
120,0.669
121,0.714
122,0.764
123,0.725
124,0.697
125,0.764
126,0.694
127,0.662
128,0.698
129,0.764
130,0.77
131,0.77
132,0.706
133,0.684
134,0.581
135,0.562
136,0.595
137,0.533
138,0.555
139,0.525
140,0.509
141,0.545
142,0.625
143,0.647
144,0.56
145,0.564
146,0.478
147,0.398
148,0.397
149,0.476
150,0.43
151,0.531
152,0.451
153,0.522
154,0.575
155,0.5
156,0.515
157,0.534
158,0.549
159,0.544
160,0.612
161,0.659
162,0.745
163,0.788
164,0.735
165,0.738
166,0.752
167,0.758
168,0.761
169,0.736
170,0.812
171,0.8
172,0.805
173,0.814
174,0.784
175,0.748
176,0.758
177,0.763
178,0.687
