,Close
0,1.0
1,1.0
2,0.676
3,0.657
4,0.787
5,0.741
6,0.667
7,0.593
8,0.537
9,0.509
10,0.417
11,0.417
12,0.444
13,0.444
14,0.417
15,0.481
16,0.546
17,0.611
18,0.685
19,0.639
20,0.639
21,0.648
22,0.63
23,0.62
24,0.63
25,0.537
26,0.528
27,0.472
28,0.389
29,0.343
30,0.343
31,0.222
32,0.176
33,0.12
34,0.12
35,0.0
36,0.093
37,0.074
38,0.13
39,0.102
40,0.157
41,0.13
42,0.13
43,0.176
44,0.213
45,0.213
46,0.213
47,0.167
48,0.185
49,0.213
50,0.361
51,0.426
52,0.583
53,0.509
54,0.5
55,0.481
56,0.463
57,0.463
58,0.491
59,0.463
60,0.519
61,0.5
62,0.481
63,0.491
64,0.491
65,0.472
66,0.398
67,0.37
68,0.407
69,0.352
70,0.352
71,0.361
72,0.389
73,0.38
74,0.444
75,0.426
76,0.407
77,0.315
78,0.287
79,0.241
80,0.241
81,0.241
82,0.259
83,0.25
84,0.213
85,0.213
86,0.296
87,0.361
88,0.37
89,0.343
90,0.38
91,0.287
92,0.278
93,0.296
94,0.333
95,0.352
96,0.287
97,0.352
98,0.25
99,0.093
100,0.111
101,0.213
102,0.287
103,0.259
104,0.25
105,0.231
106,0.25
107,0.25
108,0.167
109,0.222
110,0.241
111,0.213
112,0.148
113,0.111
114,0.139
115,0.222
