,Close
0,0.955
1,0.776
2,0.657
3,0.687
4,1.0
5,0.896
6,0.94
7,0.91
8,0.851
9,0.597
10,0.537
11,0.478
12,0.403
13,0.448
14,0.149
15,0.075
16,0.104
17,0.03
18,0.119
19,0.149
20,0.328
21,0.463
22,0.448
23,0.657
24,0.731
25,0.746
26,0.881
27,0.821
28,0.791
29,0.642
30,0.567
31,0.597
32,0.657
33,0.687
34,0.761
35,0.851
36,0.776
37,0.761
38,0.687
39,0.657
40,0.672
41,0.761
42,0.672
43,0.716
44,0.687
45,0.612
46,0.746
47,0.642
48,0.567
49,0.597
50,0.537
51,0.478
52,0.567
53,0.522
54,0.537
55,0.522
56,0.418
57,0.388
58,0.373
59,0.358
60,0.358
61,0.433
62,0.388
63,0.373
64,0.433
65,0.328
66,0.433
67,0.299
68,0.269
69,0.224
70,0.224
71,0.0
72,0.179
73,0.104
74,0.179
75,0.373
76,0.418
77,0.358
78,0.328
79,0.328
80,0.299
81,0.313
82,0.224
83,0.224
84,0.313
85,0.373
86,0.433
87,0.522
88,0.507
89,0.537
90,0.522
91,0.448
92,0.463
93,0.403
94,0.373
95,0.358
96,0.328
97,0.343
