,Close
0,0.151
1,0.206
2,0.213
3,0.258
4,0.296
5,0.279
6,0.349
7,0.401
8,0.411
9,0.421
10,0.533
11,0.548
12,0.526
13,0.532
14,0.484
15,0.501
16,0.471
17,0.484
18,0.762
19,1.0
20,0.992
21,0.84
22,0.898
23,0.921
24,0.913
25,0.881
26,0.848
27,0.752
28,0.927
29,0.738
30,0.663
31,0.687
32,0.51
33,0.497
34,0.493
35,0.361
36,0.334
37,0.335
38,0.344
39,0.278
40,0.472
41,0.519
42,0.445
43,0.423
44,0.706
45,0.683
46,0.72
47,0.595
48,0.548
49,0.674
50,0.706
51,0.718
52,0.735
53,0.721
54,0.69
55,0.652
56,0.817
57,0.733
58,0.723
59,0.676
60,0.676
61,0.691
62,0.691
63,0.675
64,0.67
65,0.67
66,0.594
67,0.607
68,0.607
69,0.607
70,0.569
71,0.542
72,0.639
73,0.666
74,0.633
75,0.615
76,0.582
77,0.582
78,0.582
79,0.643
80,0.707
81,0.683
82,0.631
83,0.675
84,0.652
85,0.655
86,0.683
87,0.702
88,0.72
89,0.71
90,0.67
91,0.683
92,0.639
93,0.667
94,0.636
95,0.61
96,0.643
97,0.687
98,0.635
99,0.626
100,0.627
101,0.627
102,0.482
103,0.553
104,0.508
105,0.453
106,0.428
107,0.389
108,0.383
109,0.341
110,0.335
111,0.317
112,0.265
113,0.265
114,0.25
115,0.222
116,0.298
117,0.244
118,0.16
119,0.179
120,0.21
121,0.175
122,0.179
123,0.201
124,0.209
125,0.186
126,0.159
127,0.151
128,0.189
129,0.171
130,0.29
131,0.325
132,0.373
133,0.325
134,0.234
135,0.242
136,0.235
137,0.239
138,0.254
139,0.24
140,0.278
141,0.242
142,0.25
143,0.222
144,0.246
145,0.246
146,0.241
147,0.221
148,0.262
149,0.215
150,0.262
151,0.23
152,0.258
153,0.286
154,0.26
155,0.24
156,0.24
157,0.335
158,0.359
159,0.327
160,0.328
161,0.346
162,0.294
163,0.294
164,0.267
165,0.194
166,0.206
167,0.207
168,0.226
169,0.254
170,0.256
171,0.302
172,0.246
173,0.266
174,0.266
175,0.266
176,0.233
177,0.207
178,0.198
179,0.159
180,0.147
181,0.127
182,0.127
183,0.079
184,0.072
185,0.072
186,0.008
187,0.008
188,0.004
189,0.0
