,Close
0,0.696
1,0.844
2,0.827
3,0.886
4,0.747
5,0.757
6,1.0
7,0.944
8,0.937
9,0.837
10,0.652
11,0.545
12,0.589
13,0.518
14,0.516
15,0.567
16,0.591
17,0.584
18,0.513
19,0.562
20,0.501
21,0.611
22,0.564
23,0.538
24,0.55
25,0.494
26,0.543
27,0.509
28,0.401
29,0.462
30,0.331
31,0.358
32,0.277
33,0.297
34,0.236
35,0.343
36,0.326
37,0.353
38,0.161
39,0.148
40,0.187
41,0.144
42,0.095
43,0.336
44,0.46
45,0.404
46,0.518
47,0.567
48,0.509
49,0.589
50,0.538
51,0.375
52,0.489
53,0.482
54,0.46
55,0.504
56,0.569
57,0.562
58,0.637
59,0.574
60,0.552
61,0.484
62,0.436
63,0.382
64,0.36
65,0.326
66,0.345
67,0.311
68,0.321
69,0.355
70,0.277
71,0.282
72,0.234
73,0.182
74,0.122
75,0.039
76,0.119
77,0.044
78,0.122
79,0.095
80,0.124
81,0.224
82,0.105
83,0.0
84,0.112
85,0.173
86,0.153
87,0.153
88,0.105
89,0.175
90,0.187
91,0.2
92,0.173
93,0.151
94,0.102
95,0.105
96,0.134
97,0.185
98,0.197
99,0.221
100,0.173
101,0.265
102,0.319
103,0.333
104,0.27
105,0.19
