,Close
0,0.812
1,0.903
2,1.0
3,0.891
4,0.821
5,0.691
6,0.747
7,0.641
8,0.673
9,0.473
10,0.466
11,0.346
12,0.353
13,0.181
14,0.239
15,0.172
16,0.142
17,0.137
18,0.137
19,0.251
20,0.309
21,0.257
22,0.172
23,0.16
24,0.091
25,0.025
26,0.044
27,0.112
28,0.162
29,0.176
30,0.123
31,0.074
32,0.007
33,0.0
34,0.03
35,0.033
36,0.083
37,0.12
38,0.148
39,0.232
40,0.197
41,0.26
42,0.302
43,0.33
44,0.409
45,0.527
46,0.599
47,0.589
48,0.594
49,0.747
50,0.733
51,0.731
52,0.735
53,0.772
54,0.863
55,0.872
56,0.821
57,0.856
58,0.494
59,0.496
60,0.536
61,0.494
62,0.434
63,0.392
64,0.318
65,0.306
66,0.38
67,0.183
68,0.286
69,0.206
70,0.223
71,0.239
72,0.223
73,0.308
74,0.255
75,0.332
76,0.258
77,0.355
78,0.232
79,0.371
80,0.299
81,0.409
82,0.286
83,0.36
84,0.311
85,0.432
86,0.476
87,0.381
88,0.608
89,0.636
90,0.585
91,0.54
92,0.429
93,0.371
94,0.392
95,0.417
96,0.364
97,0.383
98,0.522
99,0.443
100,0.478
101,0.571
102,0.643
103,0.645
104,0.673
105,0.742
106,0.775
107,0.71
108,0.768
109,0.726
110,0.724
111,0.696
112,0.654
113,0.68
114,0.561
115,0.61
116,0.666
117,0.543
118,0.583
119,0.489
120,0.531
121,0.496
122,0.661
123,0.659
124,0.656
125,0.649
126,0.624
127,0.51
128,0.276
129,0.29
130,0.415
131,0.329
132,0.183
133,0.206
134,0.206
135,0.179
136,0.091
137,0.093
138,0.141
139,0.158
140,0.223
141,0.265
142,0.272
143,0.255
144,0.185
145,0.223
146,0.258
147,0.211
148,0.311
149,0.26
150,0.322
151,0.322
152,0.399
153,0.36
154,0.395
155,0.348
156,0.337
157,0.367
158,0.32
