,Close
0,0.758
1,0.816
2,0.905
3,0.852
4,1.0
5,0.846
6,0.676
7,0.738
8,0.693
9,0.612
10,0.451
11,0.21
12,0.085
13,0.08
14,0.194
15,0.168
16,0.236
17,0.343
18,0.524
19,0.608
20,0.483
21,0.418
22,0.404
23,0.418
24,0.487
25,0.585
26,0.4
27,0.444
28,0.515
29,0.535
30,0.414
31,0.295
32,0.361
33,0.567
34,0.508
35,0.467
36,0.422
37,0.556
38,0.532
39,0.462
40,0.422
41,0.51
42,0.689
43,0.617
44,0.366
45,0.581
46,0.609
47,0.558
48,0.643
49,0.519
50,0.551
51,0.528
52,0.529
53,0.728
54,0.684
55,0.669
56,0.541
57,0.567
58,0.594
59,0.507
60,0.393
61,0.232
62,0.261
63,0.237
64,0.182
65,0.232
66,0.362
67,0.4
68,0.354
69,0.393
70,0.364
71,0.29
72,0.291
73,0.383
74,0.249
75,0.348
76,0.363
77,0.176
78,0.215
79,0.212
80,0.043
81,0.148
82,0.017
83,0.097
84,0.171
85,0.153
86,0.174
87,0.271
88,0.228
89,0.293
90,0.25
91,0.329
92,0.362
93,0.397
94,0.317
95,0.227
96,0.236
97,0.239
98,0.168
99,0.212
100,0.144
101,0.154
102,0.111
103,0.041
104,0.096
105,0.071
106,0.161
107,0.261
108,0.28
109,0.315
110,0.327
111,0.244
112,0.052
113,0.042
114,0.166
115,0.236
116,0.534
117,0.291
118,0.403
119,0.401
120,0.438
121,0.5
122,0.424
123,0.438
124,0.388
125,0.342
126,0.278
127,0.244
128,0.279
129,0.119
130,0.221
131,0.0
132,0.045
133,0.152
134,0.119
135,0.107
136,0.158
137,0.179
138,0.216
139,0.237
140,0.225
141,0.356
142,0.388
143,0.393
144,0.411
145,0.345
146,0.419
147,0.442
148,0.411
149,0.423
150,0.435
151,0.391
152,0.37
153,0.342
154,0.275
155,0.26
156,0.279
157,0.22
