,Close
0,0.061
1,0.097
2,0.179
3,0.165
4,0.197
5,0.241
6,0.25
7,0.316
8,0.289
9,0.217
10,0.331
11,0.399
12,0.361
13,0.568
14,0.925
15,1.0
16,0.778
17,0.804
18,0.651
19,0.583
20,0.568
21,0.578
22,0.576
23,0.564
24,0.539
25,0.453
26,0.411
27,0.424
28,0.419
29,0.367
30,0.303
31,0.312
32,0.317
33,0.33
34,0.327
35,0.364
36,0.387
37,0.325
38,0.253
39,0.224
40,0.169
41,0.16
42,0.151
43,0.065
44,0.073
45,0.071
46,0.041
47,0.08
48,0.052
49,0.088
50,0.185
51,0.203
52,0.219
53,0.256
54,0.366
55,0.434
56,0.464
57,0.492
58,0.421
59,0.4
60,0.339
61,0.37
62,0.395
63,0.307
64,0.329
65,0.36
66,0.356
67,0.296
68,0.349
69,0.386
70,0.466
71,0.464
72,0.407
73,0.429
74,0.388
75,0.345
76,0.361
77,0.407
78,0.383
79,0.521
80,0.428
81,0.453
82,0.411
83,0.377
84,0.39
85,0.317
86,0.347
87,0.404
88,0.393
89,0.386
90,0.44
91,0.451
92,0.366
93,0.427
94,0.298
95,0.122
96,0.026
97,0.01
98,0.061
99,0.054
100,0.014
101,0.0
102,0.115
103,0.067
104,0.061
105,0.098
106,0.091
107,0.101
108,0.12
109,0.08
110,0.154
111,0.148
112,0.116
113,0.064
114,0.062
115,0.079
116,0.13
117,0.133
118,0.207
119,0.165
120,0.177
121,0.207
122,0.271
123,0.188
124,0.178
125,0.166
126,0.11
