,Close
0,0.562
1,0.542
2,0.513
3,0.565
4,0.612
5,0.639
6,0.629
7,0.733
8,0.831
9,0.947
10,1.0
11,0.813
12,0.718
13,0.654
14,0.695
15,0.749
16,0.685
17,0.704
18,0.742
19,0.838
20,0.905
21,0.835
22,0.817
23,0.584
24,0.595
25,0.615
26,0.525
27,0.411
28,0.46
29,0.496
30,0.472
31,0.405
32,0.321
33,0.335
34,0.32
35,0.376
36,0.346
37,0.193
38,0.14
39,0.194
40,0.139
41,0.045
42,0.054
43,0.151
44,0.144
45,0.104
46,0.086
47,0.072
48,0.115
49,0.183
50,0.262
51,0.255
52,0.246
53,0.317
54,0.412
55,0.443
56,0.386
57,0.442
58,0.351
59,0.281
60,0.266
61,0.179
62,0.16
63,0.229
64,0.159
65,0.076
66,0.115
67,0.14
68,0.041
69,0.064
70,0.132
71,0.152
72,0.093
73,0.082
74,0.1
75,0.112
76,0.128
77,0.105
78,0.049
79,0.044
80,0.099
81,0.133
82,0.165
83,0.151
84,0.189
85,0.24
86,0.199
87,0.214
88,0.257
89,0.32
90,0.286
91,0.377
92,0.332
93,0.284
94,0.352
95,0.336
96,0.316
97,0.365
98,0.412
99,0.293
100,0.325
101,0.301
102,0.292
103,0.281
104,0.124
105,0.113
106,0.189
107,0.102
108,0.135
109,0.074
110,0.111
111,0.148
112,0.088
113,0.089
114,0.072
115,0.163
116,0.158
117,0.164
118,0.15
119,0.087
120,0.07
121,0.046
122,0.011
123,0.0
124,0.058
125,0.055
126,0.058
127,0.088
128,0.129
129,0.177
130,0.163
131,0.169
132,0.132
133,0.155
134,0.118
135,0.056
