,Close
0,0.852
1,0.848
2,0.861
3,0.914
4,0.943
5,0.955
6,0.934
7,0.98
8,1.0
9,0.992
10,0.984
11,0.984
12,0.959
13,0.988
14,0.992
15,1.0
16,0.996
17,0.988
18,0.947
19,0.93
20,0.869
21,0.873
22,0.893
23,0.902
24,0.865
25,0.803
26,0.807
27,0.787
28,0.766
29,0.689
30,0.66
31,0.656
32,0.602
33,0.619
34,0.615
35,0.582
36,0.59
37,0.541
38,0.52
39,0.52
40,0.443
41,0.463
42,0.422
43,0.348
44,0.307
45,0.295
46,0.381
47,0.328
48,0.262
49,0.303
50,0.344
51,0.307
52,0.348
53,0.152
54,0.34
55,0.393
56,0.369
57,0.385
58,0.365
59,0.336
60,0.316
61,0.246
62,0.197
63,0.16
64,0.041
65,0.025
66,0.02
67,0.004
68,0.02
69,0.061
70,0.066
71,0.07
72,0.061
73,0.078
74,0.082
75,0.094
76,0.107
77,0.16
78,0.205
79,0.225
80,0.279
81,0.332
82,0.344
83,0.361
84,0.398
85,0.41
86,0.426
87,0.439
88,0.434
89,0.459
90,0.504
91,0.512
92,0.533
93,0.537
94,0.566
95,0.594
96,0.582
97,0.615
98,0.619
99,0.635
100,0.496
101,0.418
102,0.316
103,0.246
104,0.168
105,0.205
106,0.148
107,0.123
108,0.033
109,0.0
110,0.053
111,0.049
112,0.07
113,0.131
114,0.135
115,0.156
116,0.209
117,0.221
118,0.246
119,0.291
120,0.262
121,0.279
122,0.34
123,0.316
124,0.348
125,0.365
126,0.373
127,0.348
128,0.307
129,0.324
130,0.32
131,0.332
132,0.352
133,0.361
134,0.328
135,0.291
136,0.332
137,0.348
138,0.34
139,0.348
140,0.32
141,0.316
142,0.283
143,0.205
144,0.197
145,0.078
146,0.094
147,0.09
148,0.066
149,0.082
150,0.098
151,0.07
152,0.041
153,0.066
154,0.07
155,0.0
156,0.02
157,0.008
158,0.02
159,0.025
160,0.016
161,0.057
162,0.078
163,0.078
164,0.033
165,0.02
166,0.016
167,0.008
168,0.037
169,0.057
170,0.066
171,0.07
172,0.102
173,0.172
174,0.152
175,0.123
176,0.172
177,0.184
178,0.176
179,0.193
180,0.184
181,0.189
182,0.176
183,0.123
184,0.07
185,0.029
186,0.02
187,0.012
188,0.041
189,0.045
