,Precio
0,0.0
1,0.42730007946335863
2,0.658753534534867
3,0.8145402104986719
4,0.8323436258384966
5,0.9080115369029209
6,0.7106820492038942
7,0.5934713264042502
8,0.2359054408631854
9,0.0
10,0.2789322478622961
11,0.4391686457043341
12,0.18100893566636989
13,0.09495532166814219
14,0.11275986896468787
15,0.3501481731350433
16,0.6958454924351326
17,0.6008901707669904
18,0.5667650714377858
19,0.683975794237434
20,0.8635007346399108
21,0.9777445988684981
22,1.0
23,0.8531150317061096
24,0.6602375297987622
25,0.7462900118402689
26,0.8175070690697349
27,0.4807125893962811
28,0.3531161636628274
29,0.3382784749373469
30,0.0
