,Close
0,0.0
1,0.073
2,0.193
3,0.196
4,0.193
5,0.126
6,0.159
7,0.383
8,0.254
9,0.385
10,0.592
11,0.545
12,0.5
13,0.615
14,0.721
15,0.858
16,0.916
17,0.872
18,0.855
19,0.5
20,0.553
21,0.757
22,0.735
23,0.684
24,0.531
25,0.246
26,0.279
27,0.31
28,0.028
29,0.034
30,0.092
31,0.288
32,0.573
33,0.304
34,0.346
35,0.335
36,0.274
37,0.413
38,0.48
39,0.288
40,0.525
41,0.472
42,0.43
43,0.285
44,0.559
45,0.455
46,0.201
47,0.556
48,0.721
49,0.603
50,0.461
51,0.531
52,0.64
53,0.732
54,0.771
55,0.807
56,0.768
57,0.852
58,0.715
59,0.69
60,0.628
61,0.922
62,0.684
63,0.726
64,0.964
65,0.86
66,1.0
67,0.799
68,0.718
69,0.595
70,0.514
71,0.45
72,0.399
73,0.221
74,0.14
75,0.14
