,Close
0,0.129
1,0.076
2,0.27
3,0.111
4,0.291
5,0.337
6,0.314
7,0.256
8,0.395
9,0.455
10,0.33
11,0.321
12,0.247
13,0.319
14,0.286
15,0.335
16,0.316
17,0.467
18,0.469
19,0.416
20,0.559
21,0.527
22,0.229
23,0.413
24,0.476
25,0.73
26,0.524
27,0.836
28,0.718
29,0.977
30,0.933
31,0.868
32,0.901
33,0.924
34,0.804
35,0.727
36,0.767
37,0.663
38,0.702
39,0.633
40,0.716
41,0.658
42,0.64
43,0.176
44,0.097
45,0.088
46,0.136
47,0.358
48,0.206
49,0.446
50,0.367
51,0.358
52,0.312
53,0.372
54,0.432
55,0.305
56,0.305
57,0.439
58,0.185
59,0.058
60,0.277
61,0.323
62,0.376
63,0.46
64,0.441
65,0.483
66,0.388
67,0.46
68,0.637
69,0.693
70,0.709
71,0.919
72,0.926
73,0.848
74,0.767
75,0.82
76,0.949
77,1.0
78,0.968
79,0.781
80,0.582
81,0.543
82,0.829
83,0.894
84,0.702
85,0.617
86,0.614
87,0.594
88,0.564
89,0.455
90,0.485
91,0.473
92,0.492
93,0.677
94,0.453
95,0.42
96,0.476
97,0.386
98,0.483
99,0.503
100,0.367
101,0.43
102,0.326
103,0.196
104,0.0
