,Precio
0,0.006557528775957146
1,0.026230115103828583
2,0.2983606803420471
3,0.3901635817639892
4,0.4196718358954324
5,0.48852526268262086
6,0.5213116558416788
7,1.0
8,0.6229514757879228
9,0.39672111053994863
10,0.331147073501105
11,0.11475362677743049
12,0.10163981994624402
13,0.09508229117028688
14,0.03606578290740039
15,0.0
16,0.17377013504031466
17,0.23934417207916062
18,0.20000025014414557
19,0.5770487743562228
20,0.6688529264988949
21,0.6983611806303383
22,0.7344269635377386
23,0.7344269635377386
24,0.7934434718006251
25,0.8655737868946981
26,0.534426713393593
27,0.6360652826191069
28,0.511475988038107
29,0.7442626313413104
30,0.6524597299193661
31,0.6196720860395803
32,0.6393446723674517
33,0.10819734872220117
34,0.32786893447349036
35,0.016393196579528955
