,Close
0,0.036
1,0.019
2,0.055
3,0.078
4,0.031
5,0.0
6,0.001
7,0.006
8,0.038
9,0.062
10,0.121
11,0.183
12,0.23
13,0.198
14,0.245
15,0.226
16,0.297
17,0.313
18,0.374
19,0.341
20,0.371
21,0.337
22,0.302
23,0.325
24,0.378
25,0.377
26,0.49
27,0.539
28,0.662
29,0.681
30,0.656
31,0.631
32,0.646
33,0.573
34,0.617
35,0.658
36,0.711
37,0.771
38,0.713
39,0.688
40,0.594
41,0.557
42,0.472
43,0.494
44,0.547
45,0.644
46,0.738
47,0.807
48,0.781
49,0.789
50,0.859
51,0.702
52,0.706
53,0.781
54,0.709
55,0.689
56,0.589
57,0.568
58,0.534
59,0.57
60,0.634
61,0.537
62,0.53
63,0.601
64,0.679
65,0.625
66,0.657
67,0.592
68,0.635
69,0.596
70,0.429
71,0.464
72,0.321
73,0.403
74,0.431
75,0.468
76,0.46
77,0.573
78,0.577
79,0.661
80,0.666
81,0.666
82,0.651
83,0.649
84,0.642
85,0.546
86,0.608
87,0.688
88,0.7
89,0.85
90,0.805
91,0.964
92,1.0
93,0.93
94,0.772
95,0.702
96,0.63
97,0.626
98,0.672
99,0.674
100,0.68
101,0.594
102,0.543
103,0.573
104,0.634
105,0.613
106,0.683
107,0.536
108,0.48
109,0.477
110,0.465
111,0.443
112,0.49
113,0.51
114,0.402
115,0.345
116,0.363
117,0.29
118,0.291
119,0.284
120,0.233
121,0.24
122,0.142
123,0.141
124,0.167
125,0.162
126,0.144
127,0.214
128,0.176
129,0.199
130,0.218
131,0.217
132,0.314
133,0.366
134,0.358
135,0.365
136,0.37
137,0.334
138,0.407
139,0.5
140,0.53
141,0.58
142,0.645
143,0.663
144,0.588
145,0.661
146,0.695
147,0.728
148,0.706
149,0.625
150,0.645
151,0.558
152,0.552
153,0.559
154,0.572
155,0.578
156,0.594
157,0.693
158,0.48
159,0.356
160,0.391
161,0.448
162,0.414
163,0.472
164,0.451
165,0.439
166,0.421
167,0.491
168,0.471
169,0.41
170,0.443
171,0.316
172,0.226
173,0.21
174,0.228
175,0.143
176,0.145
