,Close
0,0.262
1,0.269
2,0.35
3,0.387
4,0.387
5,0.412
6,0.363
7,0.312
8,0.425
9,0.55
10,0.487
11,0.412
12,0.475
13,0.425
14,0.412
15,0.375
16,0.425
17,0.355
18,0.475
19,0.387
20,0.575
21,0.525
22,0.538
23,0.762
24,0.85
25,0.85
26,0.95
27,0.95
28,0.975
29,0.862
30,0.787
31,0.8
32,0.712
33,0.637
34,0.671
35,0.65
36,0.575
37,0.675
38,0.562
39,0.575
40,0.575
41,0.499
42,0.412
43,0.35
44,0.387
45,0.412
46,0.392
47,0.35
48,0.5
49,0.475
50,0.425
51,0.55
52,0.487
53,0.466
54,0.445
55,0.412
56,0.45
57,0.437
58,0.363
59,0.425
60,0.45
61,0.387
62,0.363
63,0.359
64,0.35
65,0.363
66,0.887
67,0.787
68,1.0
69,1.0
70,0.75
71,0.637
72,0.625
73,0.587
74,0.55
75,0.612
76,0.575
77,0.55
78,0.517
79,0.369
80,0.5
81,0.462
82,0.412
83,0.344
84,0.337
85,0.262
86,0.489
87,0.538
88,0.5
89,0.412
90,0.325
91,0.425
92,0.35
93,0.287
94,0.275
95,0.312
96,0.275
97,0.312
98,0.25
99,0.2
100,0.212
101,0.212
102,0.244
103,0.237
104,0.25
105,0.251
106,0.325
107,0.319
108,0.287
109,0.331
110,0.325
111,0.337
112,0.287
113,0.35
114,0.312
115,0.325
116,0.412
117,0.45
118,0.7
119,0.75
120,0.663
121,0.575
122,0.538
123,0.5
124,0.562
125,0.437
126,0.575
127,0.506
128,0.412
129,0.367
130,0.412
131,0.412
132,0.35
133,0.363
134,0.487
135,0.4
136,0.437
137,0.35
138,0.513
139,0.525
140,0.437
141,0.445
142,0.412
143,0.337
144,0.412
145,0.387
146,0.375
147,0.25
148,0.25
149,0.212
150,0.2
151,0.262
152,0.262
153,0.201
154,0.2
155,0.212
156,0.137
157,0.112
158,0.075
159,0.0
