,Close
0,0.0
1,0.132
2,0.146
3,0.15
4,0.141
5,0.177
6,0.188
7,0.178
8,0.192
9,0.128
10,0.204
11,0.247
12,0.249
13,0.449
14,0.324
15,0.274
16,0.151
17,0.042
18,0.002
19,0.106
20,0.095
21,0.048
22,0.095
23,0.105
24,0.116
25,0.034
26,0.134
27,0.299
28,0.337
29,0.307
30,0.337
31,0.393
32,0.369
33,0.344
34,0.16
35,0.257
36,0.327
37,0.306
38,0.334
39,0.276
40,0.219
41,0.113
42,0.25
43,0.159
44,0.343
45,0.447
46,0.525
47,0.563
48,0.446
49,0.594
50,0.476
51,0.449
52,0.517
53,0.546
54,0.734
55,0.715
56,0.712
57,0.649
58,0.709
59,0.695
60,0.578
61,0.359
62,0.32
63,0.334
64,0.379
65,0.249
66,0.22
67,0.329
68,0.336
69,0.527
70,0.684
71,0.647
72,0.717
73,0.644
74,0.72
75,0.621
76,0.579
77,0.579
78,0.624
79,0.575
80,0.393
81,0.45
82,0.425
83,0.478
84,0.478
85,0.526
86,0.493
87,0.615
88,0.648
89,0.53
90,0.486
91,0.233
92,0.174
93,0.219
94,0.232
95,0.191
96,0.208
97,0.417
98,0.458
99,0.451
100,0.519
101,0.455
102,0.495
103,0.55
104,0.539
105,0.622
106,0.597
107,0.606
108,0.627
109,0.607
110,0.541
111,0.561
112,0.478
113,0.454
114,0.55
115,0.674
116,0.748
117,0.827
118,0.855
119,0.89
120,1.0
121,0.94
122,0.827
123,0.188
124,0.279
125,0.352
126,0.476
127,0.378
128,0.314
129,0.152
130,0.219
131,0.14
132,0.299
133,0.254
134,0.414
135,0.342
136,0.369
137,0.294
138,0.312
139,0.227
140,0.246
141,0.303
142,0.32
143,0.399
144,0.475
145,0.471
146,0.299
147,0.28
148,0.297
149,0.264
150,0.203
151,0.185
152,0.22
153,0.271
154,0.315
155,0.432
156,0.561
157,0.768
158,0.636
159,0.636
160,0.629
161,0.558
162,0.536
163,0.445
164,0.462
165,0.487
166,0.46
167,0.439
168,0.407
169,0.379
170,0.378
171,0.394
172,0.296
173,0.337
174,0.303
175,0.306
176,0.281
177,0.3
178,0.274
179,0.242
180,0.237
