,Close
0,0.564
1,0.583
2,0.572
3,0.618
4,0.628
5,0.645
6,0.636
7,0.638
8,0.636
9,0.664
10,0.684
11,0.704
12,0.708
13,0.694
14,0.706
15,0.699
16,0.706
17,0.707
18,0.699
19,0.728
20,0.739
21,0.76
22,0.775
23,0.785
24,0.77
25,0.777
26,0.756
27,0.715
28,0.714
29,0.721
30,0.744
31,0.698
32,0.68
33,0.662
34,0.653
35,0.655
36,0.638
37,0.634
38,0.67
39,0.687
40,0.695
41,0.71
42,0.642
43,0.647
44,0.636
45,0.616
46,0.628
47,0.612
48,0.582
49,0.561
50,0.531
51,0.515
52,0.506
53,0.543
54,0.52
55,0.502
56,0.542
57,0.644
58,0.644
59,0.599
60,0.521
61,0.511
62,0.489
63,0.476
64,0.55
65,0.462
66,0.545
67,0.585
68,0.552
69,0.511
70,0.585
71,0.628
72,0.683
73,0.693
74,0.698
75,0.775
76,0.769
77,0.769
78,0.702
79,0.674
80,0.73
81,0.749
82,0.764
83,0.703
84,0.867
85,0.892
86,0.854
87,0.877
88,0.86
89,0.832
90,0.855
91,0.876
92,0.92
93,0.946
94,0.942
95,0.888
96,0.886
97,0.999
98,1.0
99,0.983
100,0.847
101,0.768
102,0.791
103,0.837
104,0.612
105,0.725
106,0.78
107,0.699
108,0.554
109,0.492
110,0.43
111,0.43
112,0.557
113,0.472
114,0.527
115,0.523
116,0.436
117,0.55
118,0.487
119,0.489
120,0.508
121,0.497
122,0.527
123,0.526
124,0.545
125,0.553
126,0.553
127,0.568
128,0.557
129,0.535
130,0.524
131,0.541
132,0.567
133,0.56
134,0.562
135,0.575
136,0.582
137,0.57
138,0.585
139,0.609
140,0.626
141,0.593
142,0.547
143,0.594
144,0.538
145,0.482
146,0.501
147,0.582
148,0.554
149,0.583
150,0.519
151,0.519
152,0.391
153,0.378
154,0.413
155,0.352
156,0.345
157,0.325
158,0.325
159,0.367
160,0.448
161,0.421
162,0.326
163,0.339
164,0.216
165,0.07
166,0.008
167,0.104
168,0.004
169,0.093
170,0.0
171,0.085
172,0.156
173,0.031
174,0.021
