,Close
0,0.069
1,0.018
2,0.0
3,0.099
4,0.087
5,0.156
6,0.209
7,0.294
8,0.273
9,0.277
10,0.198
11,0.135
12,0.226
13,0.25
14,0.27
15,0.327
16,0.417
17,0.47
18,0.386
19,0.374
20,0.406
21,0.459
22,0.421
23,0.483
24,0.609
25,0.654
26,0.649
27,0.631
28,0.644
29,0.517
30,0.553
31,0.448
32,0.542
33,0.498
34,0.403
35,0.417
36,0.502
37,0.574
38,0.517
39,0.636
40,0.556
41,0.475
42,0.57
43,0.506
44,0.466
45,0.408
46,0.224
47,0.161
48,0.251
49,0.469
50,0.484
51,0.46
52,0.599
53,0.678
54,0.661
55,0.732
56,0.688
57,0.644
58,0.575
59,0.615
60,0.714
61,0.595
62,0.675
63,0.695
64,0.751
65,0.717
66,0.809
67,0.759
68,0.762
69,0.814
70,0.75
71,0.739
72,0.778
73,0.812
74,0.718
75,0.8
76,0.858
77,0.927
78,0.907
79,0.669
80,0.858
81,0.913
82,0.889
83,1.0
84,0.861
85,0.853
86,0.816
87,0.711
88,0.812
89,0.74
90,0.743
91,0.65
92,0.718
93,0.767
94,0.663
95,0.676
96,0.525
97,0.423
98,0.411
99,0.371
100,0.35
101,0.39
102,0.415
103,0.421
104,0.433
105,0.376
106,0.355
107,0.366
108,0.437
109,0.39
110,0.52
111,0.482
112,0.365
113,0.44
114,0.461
115,0.363
116,0.297
117,0.263
118,0.284
119,0.328
120,0.317
121,0.364
122,0.425
123,0.412
124,0.461
125,0.446
126,0.557
127,0.568
128,0.653
129,0.576
130,0.668
131,0.718
132,0.641
133,0.529
134,0.588
135,0.554
136,0.549
137,0.573
138,0.494
139,0.561
140,0.494
141,0.434
142,0.546
143,0.551
144,0.583
145,0.504
146,0.483
147,0.39
148,0.312
149,0.341
