,Close
0,0.166
1,0.099
2,0.114
3,0.16
4,0.16
5,0.136
6,0.119
7,0.12
8,0.177
9,0.195
10,0.295
11,0.364
12,0.368
13,0.296
14,0.309
15,0.37
16,0.426
17,0.439
18,0.414
19,0.465
20,0.406
21,0.376
22,0.307
23,0.459
24,0.527
25,0.475
26,0.495
27,0.527
28,0.613
29,0.605
30,0.673
31,0.672
32,0.794
33,0.762
34,0.717
35,0.666
36,0.65
37,0.737
38,0.63
39,0.622
40,0.593
41,0.572
42,0.46
43,0.45
44,0.417
45,0.451
46,0.433
47,0.461
48,0.506
49,0.384
50,0.341
51,0.286
52,0.269
53,0.332
54,0.309
55,0.292
56,0.283
57,0.218
58,0.216
59,0.229
60,0.282
61,0.27
62,0.249
63,0.328
64,0.416
65,0.369
66,0.371
67,0.246
68,0.274
69,0.276
70,0.274
71,0.374
72,0.314
73,0.406
74,0.424
75,0.396
76,0.401
77,0.547
78,0.648
79,0.724
80,0.714
81,0.683
82,0.759
83,0.815
84,0.809
85,0.726
86,0.717
87,0.458
88,0.579
89,0.532
90,0.492
91,0.651
92,0.651
93,0.658
94,0.757
95,0.792
96,0.823
97,0.871
98,0.885
99,0.96
100,1.0
101,0.986
102,0.867
103,0.914
104,0.985
105,0.987
106,0.928
107,0.853
108,0.805
109,0.742
110,0.575
111,0.657
112,0.662
113,0.701
114,0.638
115,0.522
116,0.483
117,0.503
118,0.508
119,0.546
120,0.435
121,0.433
122,0.42
123,0.312
124,0.402
125,0.376
126,0.615
127,0.412
128,0.348
129,0.395
130,0.37
131,0.422
132,0.467
133,0.517
134,0.577
135,0.594
136,0.593
137,0.579
138,0.585
139,0.563
140,0.518
141,0.482
142,0.482
143,0.452
144,0.463
145,0.526
146,0.568
147,0.692
148,0.712
149,0.477
150,0.501
151,0.485
152,0.475
153,0.0
154,0.051
155,0.023
156,0.033
157,0.139
158,0.134
159,0.101
160,0.136
161,0.113
162,0.101
163,0.122
164,0.158
165,0.163
166,0.202
167,0.219
168,0.165
169,0.089
170,0.086
171,0.119
172,0.098
173,0.018
174,0.082
175,0.083
176,0.127
