,Close
0,0.258
1,0.239
2,0.207
3,0.218
4,0.214
5,0.219
6,0.167
7,0.123
8,0.23
9,0.215
10,0.298
11,0.305
12,0.279
13,0.297
14,0.321
15,0.375
16,0.472
17,0.433
18,0.488
19,0.564
20,0.46
21,0.492
22,0.447
23,0.447
24,0.471
25,0.494
26,0.522
27,0.573
28,0.618
29,0.652
30,0.691
31,0.707
32,0.658
33,0.622
34,0.558
35,0.534
36,0.486
37,0.522
38,0.462
39,0.402
40,0.4
41,0.369
42,0.395
43,0.344
44,0.301
45,0.36
46,0.364
47,0.426
48,0.434
49,0.339
50,0.321
51,0.331
52,0.347
53,0.449
54,0.446
55,0.385
56,0.324
57,0.286
58,0.279
59,0.221
60,0.272
61,0.238
62,0.181
63,0.271
64,0.377
65,0.327
66,0.296
67,0.251
68,0.267
69,0.283
70,0.271
71,0.482
72,0.427
73,0.528
74,0.495
75,0.468
76,0.54
77,0.701
78,0.774
79,0.801
80,0.801
81,0.829
82,0.957
83,0.927
84,0.911
85,0.826
86,0.785
87,0.906
88,0.875
89,0.863
90,0.818
91,0.926
92,0.805
93,0.798
94,0.858
95,0.833
96,0.862
97,0.863
98,0.9
99,0.924
100,0.917
101,0.981
102,0.894
103,0.88
104,0.996
105,1.0
106,0.994
107,0.941
108,0.919
109,0.858
110,0.812
111,0.847
112,0.914
113,0.911
114,0.805
115,0.718
116,0.651
117,0.69
118,0.658
119,0.741
120,0.745
121,0.749
122,0.75
123,0.707
124,0.771
125,0.776
126,0.835
127,0.873
128,0.769
129,0.887
130,0.802
131,0.833
132,0.824
133,0.862
134,0.893
135,0.823
136,0.429
137,0.285
138,0.337
139,0.336
140,0.375
141,0.317
142,0.323
143,0.316
144,0.311
145,0.461
146,0.474
147,0.58
148,0.64
149,0.588
150,0.623
151,0.543
152,0.505
153,0.508
154,0.53
155,0.488
156,0.517
157,0.493
158,0.576
159,0.52
160,0.48
161,0.497
162,0.48
163,0.452
164,0.424
165,0.411
166,0.386
167,0.42
168,0.391
169,0.373
170,0.339
171,0.158
172,0.167
173,0.083
174,0.027
175,0.0
176,0.151
