,Close
0,0.079
1,0.132
2,0.112
3,0.175
4,0.109
5,0.012
6,0.058
7,0.099
8,0.204
9,0.229
10,0.269
11,0.318
12,0.278
13,0.275
14,0.338
15,0.379
16,0.367
17,0.361
18,0.401
19,0.411
20,0.491
21,0.45
22,0.49
23,0.409
24,0.367
25,0.292
26,0.408
27,0.386
28,0.375
29,0.36
30,0.391
31,0.398
32,0.327
33,0.336
34,0.28
35,0.213
36,0.262
37,0.34
38,0.263
39,0.348
40,0.199
41,0.126
42,0.268
43,0.446
44,0.411
45,0.426
46,0.514
47,0.64
48,0.615
49,0.596
50,0.509
51,0.479
52,0.453
53,0.51
54,0.628
55,0.542
56,0.55
57,0.631
58,0.714
59,0.689
60,0.691
61,0.674
62,0.718
63,0.728
64,0.796
65,0.799
66,0.783
67,0.826
68,0.773
69,0.881
70,0.877
71,0.896
72,0.855
73,0.754
74,0.816
75,0.826
76,0.864
77,0.997
78,0.946
79,0.979
80,0.908
81,0.888
82,1.0
83,0.951
84,0.96
85,0.889
86,0.853
87,0.84
88,0.767
89,0.551
90,0.36
91,0.301
92,0.296
93,0.225
94,0.176
95,0.279
96,0.287
97,0.269
98,0.293
99,0.275
100,0.225
101,0.251
102,0.255
103,0.194
104,0.281
105,0.284
106,0.186
107,0.311
108,0.33
109,0.221
110,0.248
111,0.266
112,0.282
113,0.246
114,0.321
115,0.315
116,0.342
117,0.336
118,0.355
119,0.402
120,0.478
121,0.576
122,0.62
123,0.648
124,0.604
125,0.686
126,0.578
127,0.527
128,0.575
129,0.465
130,0.436
131,0.392
132,0.355
133,0.464
134,0.39
135,0.352
136,0.503
137,0.485
138,0.5
139,0.458
140,0.424
141,0.35
142,0.373
143,0.37
144,0.401
145,0.255
146,0.289
147,0.224
148,0.312
149,0.34
150,0.412
151,0.341
152,0.331
153,0.252
154,0.23
155,0.203
156,0.076
157,0.095
158,0.0
159,0.11
