,Close
0,0.295
1,0.375
2,0.39
3,0.344
4,0.312
5,0.399
6,0.361
7,0.449
8,0.473
9,0.55
10,0.51
11,0.481
12,0.359
13,0.291
14,0.358
15,0.385
16,0.432
17,0.463
18,0.6
19,0.634
20,0.572
21,0.573
22,0.59
23,0.707
24,0.726
25,0.723
26,0.799
27,0.848
28,0.887
29,0.858
30,0.9
31,0.805
32,0.791
33,0.715
34,0.783
35,0.758
36,0.721
37,0.738
38,0.726
39,0.809
40,0.743
41,0.839
42,0.756
43,0.673
44,0.645
45,0.621
46,0.601
47,0.558
48,0.39
49,0.312
50,0.343
51,0.463
52,0.492
53,0.466
54,0.627
55,0.743
56,0.799
57,0.841
58,0.835
59,0.783
60,0.728
61,0.753
62,0.842
63,0.711
64,0.766
65,0.765
66,0.832
67,0.824
68,0.905
69,0.935
70,0.943
71,0.987
72,0.975
73,0.958
74,1.0
75,0.998
76,0.693
77,0.795
78,0.818
79,0.835
80,0.834
81,0.671
82,0.74
83,0.828
84,0.818
85,0.884
86,0.814
87,0.803
88,0.76
89,0.685
90,0.728
91,0.704
92,0.721
93,0.664
94,0.694
95,0.726
96,0.719
97,0.724
98,0.665
99,0.59
100,0.594
101,0.57
102,0.45
103,0.495
104,0.523
105,0.521
106,0.511
107,0.464
108,0.439
109,0.442
110,0.516
111,0.465
112,0.54
113,0.562
114,0.489
115,0.494
116,0.509
117,0.403
118,0.428
119,0.467
120,0.5
121,0.53
122,0.559
123,0.55
124,0.587
125,0.573
126,0.57
127,0.543
128,0.588
129,0.609
130,0.64
131,0.585
132,0.591
133,0.639
134,0.625
135,0.534
136,0.562
137,0.52
138,0.491
139,0.488
140,0.466
141,0.53
142,0.503
143,0.471
144,0.572
145,0.572
146,0.584
147,0.376
148,0.329
149,0.255
150,0.267
151,0.263
152,0.307
153,0.307
154,0.292
155,0.273
156,0.298
157,0.328
158,0.358
159,0.353
160,0.307
161,0.291
162,0.244
163,0.206
164,0.151
165,0.127
166,0.0
167,0.036
