,Close
0,0.0
1,0.057
2,0.076
3,0.037
4,0.059
5,0.119
6,0.074
7,0.131
8,0.269
9,0.232
10,0.221
11,0.193
12,0.339
13,0.23
14,0.207
15,0.448
16,0.434
17,0.481
18,0.455
19,0.539
20,0.647
21,0.691
22,0.665
23,0.652
24,0.601
25,0.55
26,0.483
27,0.617
28,0.621
29,0.621
30,0.502
31,0.56
32,0.663
33,0.681
34,0.677
35,0.568
36,0.63
37,0.585
38,0.681
39,0.658
40,0.628
41,0.543
42,0.51
43,0.43
44,0.414
45,0.385
46,0.448
47,0.474
48,0.479
49,0.498
50,0.526
51,0.527
52,0.531
53,0.524
54,0.566
55,0.597
56,0.659
57,0.781
58,0.793
59,0.874
60,0.873
61,0.974
62,1.0
63,0.917
64,0.887
65,0.898
66,0.908
67,0.901
68,0.908
69,0.917
70,0.943
71,0.917
72,0.834
73,0.858
74,0.905
75,0.85
76,0.819
77,0.783
78,0.811
79,0.741
80,0.732
81,0.676
82,0.712
83,0.698
84,0.668
85,0.668
86,0.652
87,0.651
88,0.6
89,0.612
90,0.53
91,0.597
92,0.575
93,0.703
94,0.681
95,0.749
96,0.728
97,0.634
98,0.659
99,0.6
100,0.59
101,0.586
102,0.643
103,0.509
104,0.49
105,0.506
