,Close
0,0.293
1,0.282
2,0.277
3,0.264
4,0.255
5,0.252
6,0.231
7,0.213
8,0.289
9,0.304
10,0.352
11,0.402
12,0.44
13,0.414
14,0.443
15,0.44
16,0.475
17,0.492
18,0.509
19,0.452
20,0.434
21,0.497
22,0.481
23,0.485
24,0.495
25,0.452
26,0.513
27,0.578
28,0.628
29,0.661
30,0.681
31,0.665
32,0.644
33,0.605
34,0.576
35,0.564
36,0.563
37,0.588
38,0.541
39,0.481
40,0.473
41,0.449
42,0.431
43,0.404
44,0.344
45,0.363
46,0.354
47,0.368
48,0.398
49,0.28
50,0.308
51,0.314
52,0.325
53,0.359
54,0.361
55,0.455
56,0.42
57,0.344
58,0.356
59,0.341
60,0.354
61,0.324
62,0.316
63,0.366
64,0.452
65,0.439
66,0.412
67,0.378
68,0.417
69,0.416
70,0.43
71,0.574
72,0.56
73,0.627
74,0.626
75,0.737
76,0.627
77,0.651
78,0.708
79,0.72
80,0.762
81,0.75
82,0.799
83,0.822
84,0.82
85,0.754
86,0.749
87,0.825
88,0.847
89,0.86
90,0.865
91,1.0
92,0.91
93,0.915
94,0.928
95,0.905
96,0.9
97,0.905
98,0.889
99,0.89
100,0.895
101,0.906
102,0.826
103,0.852
104,0.891
105,0.92
106,0.919
107,0.851
108,0.86
109,0.845
110,0.855
111,0.84
112,0.876
113,0.763
114,0.726
115,0.632
116,0.641
117,0.607
118,0.612
119,0.613
120,0.576
121,0.583
122,0.569
123,0.524
124,0.573
125,0.568
126,0.555
127,0.534
128,0.491
129,0.559
130,0.539
131,0.576
132,0.549
133,0.611
134,0.606
135,0.569
136,0.492
137,0.482
138,0.521
139,0.529
140,0.52
141,0.509
142,0.336
143,0.261
144,0.247
145,0.334
146,0.344
147,0.432
148,0.46
149,0.447
150,0.466
151,0.419
152,0.392
153,0.386
154,0.419
155,0.413
156,0.464
157,0.448
158,0.49
159,0.432
160,0.387
161,0.387
162,0.349
163,0.346
164,0.352
165,0.3
166,0.262
167,0.29
168,0.323
169,0.31
170,0.317
171,0.177
172,0.164
173,0.027
174,0.073
175,0.0
176,0.067
