,Close
0,0.0
1,0.067
2,0.073
3,0.058
4,0.061
5,0.067
6,0.046
7,0.097
8,0.182
9,0.234
10,0.261
11,0.319
12,0.347
13,0.45
14,0.447
15,0.565
16,0.599
17,0.681
18,0.59
19,0.663
20,0.681
21,0.684
22,0.62
23,0.66
24,0.608
25,0.565
26,0.544
27,0.574
28,0.65
29,0.55
30,0.523
31,0.508
32,0.45
33,0.38
34,0.328
35,0.356
36,0.359
37,0.35
38,0.389
39,0.401
40,0.334
41,0.319
42,0.301
43,0.264
44,0.313
45,0.271
46,0.258
47,0.261
48,0.24
49,0.231
50,0.161
51,0.213
52,0.191
53,0.134
54,0.195
55,0.249
56,0.222
57,0.204
58,0.188
59,0.158
60,0.191
61,0.249
62,0.295
63,0.222
64,0.271
65,0.31
66,0.298
67,0.319
68,0.386
69,0.401
70,0.489
71,0.438
72,0.571
73,0.675
74,0.726
75,0.708
76,0.632
77,0.553
78,0.584
79,0.617
80,0.66
81,0.599
82,0.748
83,0.723
84,0.769
85,0.784
86,0.763
87,0.65
88,0.714
89,0.805
90,0.857
91,0.839
92,0.857
93,0.842
94,0.854
95,0.836
96,0.848
97,0.881
98,0.936
99,1.0
100,0.416
101,0.301
102,0.225
103,0.334
104,0.347
105,0.35
106,0.298
107,0.356
108,0.374
109,0.277
110,0.319
111,0.286
112,0.322
113,0.368
114,0.258
115,0.292
116,0.267
117,0.322
118,0.441
119,0.429
120,0.495
121,0.471
122,0.553
123,0.526
124,0.486
125,0.444
126,0.407
127,0.374
128,0.377
129,0.413
130,0.547
131,0.581
132,0.611
133,0.547
134,0.538
135,0.486
136,0.559
137,0.535
138,0.535
139,0.629
140,0.62
141,0.547
142,0.568
143,0.553
144,0.505
145,0.608
146,0.526
147,0.553
148,0.559
149,0.562
150,0.508
151,0.508
152,0.489
153,0.489
154,0.486
155,0.471
156,0.486
157,0.495
158,0.544
159,0.489
160,0.502
161,0.486
162,0.441
163,0.392
164,0.31
165,0.365
166,0.289
167,0.316
