,Close
0,0.17
1,0.114
2,0.095
3,0.117
4,0.101
5,0.107
6,0.074
7,0.0
8,0.096
9,0.103
10,0.173
11,0.165
12,0.167
13,0.155
14,0.194
15,0.209
16,0.228
17,0.329
18,0.352
19,0.271
20,0.297
21,0.335
22,0.307
23,0.324
24,0.412
25,0.468
26,0.46
27,0.503
28,0.569
29,0.601
30,0.665
31,0.604
32,0.64
33,0.617
34,0.545
35,0.492
36,0.421
37,0.462
38,0.387
39,0.371
40,0.367
41,0.334
42,0.347
43,0.334
44,0.29
45,0.306
46,0.312
47,0.364
48,0.4
49,0.29
50,0.331
51,0.363
52,0.494
53,0.448
54,0.468
55,0.391
56,0.406
57,0.339
58,0.316
59,0.249
60,0.3
61,0.251
62,0.232
63,0.315
64,0.4
65,0.417
66,0.348
67,0.312
68,0.349
69,0.361
70,0.351
71,0.449
72,0.436
73,0.481
74,0.45
75,0.453
76,0.361
77,0.357
78,0.414
79,0.474
80,0.554
81,0.546
82,0.69
83,0.848
84,0.909
85,0.863
86,0.77
87,0.912
88,0.928
89,0.953
90,0.92
91,0.975
92,0.962
93,0.937
94,0.932
95,0.928
96,0.964
97,0.979
98,0.995
99,1.0
100,0.956
101,0.954
102,0.884
103,0.87
104,0.866
105,0.882
106,0.929
107,0.797
108,0.796
109,0.777
110,0.777
111,0.786
112,0.824
113,0.81
114,0.774
115,0.611
116,0.746
117,0.637
118,0.646
119,0.709
120,0.632
121,0.669
122,0.679
123,0.639
124,0.691
125,0.679
126,0.647
127,0.637
128,0.6
129,0.616
130,0.509
131,0.516
132,0.506
133,0.544
134,0.576
135,0.564
136,0.353
137,0.289
138,0.403
139,0.392
140,0.382
141,0.384
142,0.349
143,0.461
144,0.491
145,0.6
146,0.605
147,0.616
148,0.659
149,0.662
150,0.71
151,0.661
152,0.591
153,0.605
154,0.722
155,0.667
156,0.661
157,0.666
158,0.733
159,0.654
160,0.611
161,0.613
162,0.574
163,0.565
164,0.56
165,0.553
166,0.574
167,0.603
168,0.573
169,0.526
170,0.538
171,0.334
172,0.258
173,0.011
174,0.092
175,0.063
176,0.12
